name,description
Confidence for Women Entrepreneurs Community,"<p>Are you a woman entrepreneur who knows there is much more to your life than you have been living? Do you dream of making a big impact with your business, but you hold yourself back due to fears and lack of confidence? Do you know you were put on this planet for so much more than you are currently living? You are NOT alone! This group is for women entrepreneurs who have a big calling and are ready to step up and into that calling, to bust through those fears, build your confidence, and thrive. The world needs you and your message, so come be supported, empowered, and let your light shine like the brilliant woman you are. The more confidence you have, the bigger impact you can make, in the world and your bank account.</p>
<p>Watch this video on how Confidence and your income are directly related... <a href=""https://youtu.be/-vz7J1r41CU"">https://youtu.be/-vz7J1r41CU</a> </p>
<p>This group is a community. A community of women who are building their confidence, supporting one another in their goals, dreams and aspirations. Come each month as we build relationships with one another, learn how to break through blocks, and transform from caterpillars into beautiful butterflies, so that we can all make a much bigger impact in the world, together.</p>
<p><b>Join the Confident Woman Community on Facebook</b> at <a href=""https://www.facebook.com/groups/confidencewomenentrepreneurs"">https://www.facebook.com/groups/confidencewomenentrepreneurs</a></p>
<p>I look forward to connecting with you!</p>
<p>With Purpose and Passion,</p>
<p>Erin Summ</p>
<p><a href=""http://www.erinsumm.com"">www.erinsumm.com</a></p>
<p><b>Grab the FREE Report, 7 Secrets to Lasting Confidence for More Clients and Money in the Bank here... <a href=""http://www.erinsumm.com/7Secrets"">www.erinsumm.com/7Secrets</a></b></p>
<p><b>Join the FREE Stand Up and SHINE Confidence Challenge on Facebook here...</b> <a href=""https://www.facebook.com/groups/shineconfidencechallenge"">https://www.facebook.com/groups/shineconfidencechallenge</a></p>
<p><b>Get the Stand Up and SHINE 60-Day Confidence Discovery Journal here... <a href=""http://bit.ly/standandshine"">bit.ly/standandshine</a> </b> </p>"
Relationship Building  Skills Group,<p><span>This fun group is for Bay Area men and women of all ages. It is a combination of <b>facilitated social events</b> designed to help you make REAL connections with other members. &nbsp;We also offer relationship skills and self improvement workshops so that you can learn how to have better relationships.</span></p>
Silicon Valley Women in Technology,"<p>I recently attended my first conference for women in technology (the Grace Hopper Celebration) and was blown away by how exciting it was to be surrounded by so many smart, awesome women in tech. Join up if you want that experience (on a smaller scale, of course) here in Silicon Valley!</p>
<p>I'm picturing this as a group where we can get together socially and meet other women who share our passion for computers and technology. We could also meet up at events like She's Geeky or attend tech seminars.</p>"
Women Gone Wild Adventures,"<p><span>While we love our men and our guy friends, experiencing the outdoors with a group of women is a different game.</span></p>
<p><span>When it comes to the outdoors, we believe in equity, not necessarily equality. (Don't understand what we mean by that statement? Come check us out and you'll discover the true meaning!)</span></p>
<p><span>We believe in physical strength, but also the inner strength of great women.</span></p>
<p><span>We believe in a caring and nurturing community, where all women are free to be themselves - safe to admit their weaknesses, safe to take on new challenges, and safe to explore the boundaries of life without men.</span></p>
<p><span>We believe in fostering the independent, strong woman inside of every one of us.</span></p>
<p><span>We believe in having a damn good time whether it's ""roughing it"" in a fabulous mountain house and hitting up the spa, or car camping and checking out the local hot springs, or 10-days in the backcountry without a shower.</span></p>
<p><span>Come on, go wild with us!</span></p>
<p><span>(Especially if you are indeed a woman between the ages of 21 and 99.) <br></span></p>
<p>Join our Facebook group: Ecstatic Living By Design&nbsp;https://www.facebook.com/groups/ecstaticlife/&nbsp;<br>This group bridges the gap between events and allows us to connect and deepen our relationships even when we are not together.&nbsp; The group also connects individuals from various Meetup groups the organizer runs - a larger community of like-minded individuals in various states and geographical regions!</p>
<br>"
Santa Cruz Women Hiking,"<p>Dear fellow hikers or potential hikers,</p>
<p>I love hiking in the fresh air of mountain and sea, and want to join with other women in exploring hiking trails in Santa Cruz and neighboring counties. My goal is to get good exercise, enjoy good company, and experience the serenity and inspiration of the great outdoors.</p>
<p>Most of the hikes I will organize will be in the 3- to 7- mile range with a gain of 200 to 2000 feet. &nbsp;There are other organizers, however, who may do longer and/or more difficult hikes. If you're not ready to do the longer steeper hikes, try the easier ones! You are also welcome to come and do a portion of a hike, then return on your own. That's how I got started!</p>
<p>This group is for women of any age, who love hiking in beautiful natural spaces, or who would like to give it a try! It's also a relaxed and easy way to make new friends :)</p>
<p>If you have any questions about the group or the hikes, feel free to send me an email.</p>
<p>Best,</p>
<p>Kitty</p>
<p><strong>~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~</strong></p>
<p>I will do my best to describe the level of difficulty of each hike, so you can decide if the hike is right for you. I'll use the descriptions below to indicate how much uphill there is. In addition to the uphill, please take into consideration how long the hike is. A hike may be described as moderately easy, but if it's 6 or 7 miles long, that distance may be too much for you at this time.</p>
<p><strong>Moderately easy</strong> = Up and down, but total elevation gain of less than 400 feet. <br></p>
<p><strong>Moderate</strong> = Total gain 400 to 800 feet. Lots of up and down. Can be steep stretches, but no really long steep uphill stretches. <br></p>
<p><strong>Moderately difficult</strong> = Total gain greater than 800 feet. May be some really steep sections and/or very long stretches of uphill. <br></p>"
Gather the Women Nevada County,"<p>We are a global sisterhood that connects women through circles. <br> We create safe spaces to share our true selves. <br> Meeting in circles, we find our voices, claim our power, and celebrate self-worth, leading to personal and planetary transformation.</p>
<p>More information, and sign-up links for the newsletter can be found at:</p>
<p><a href=""http://www.gatherthewomennc.org"">www.gatherthewomennc.org</a></p>"
Sac Feminists,"<p>Feminists come here to connect, find safe space, educate themselves, and educate each other on feminist issues. <br></p>
<p>We put on unique events for members of Sac Feminists, and we also cross-post events from other local progressive organizations so that members can see a lot of opportunities to get involved and connect. <br></p>
<p>If you have an idea for a meetup, get in touch with the organizers. <br></p>
<p>(In order to be approved as a member, you must answer the profile questions and have a picture of your face in your profile.) <br></p>
<p> <br></p>
<p> <br></p>"
Citrus Heights Womens Club,"<p>If you are a woman who lives, works or does business in the City of Citrus Heights, WE WANT YOU! WE ARE A NON PROFIT SERVICE GROUP.</p>
<p>The Citrus Heights Women's Club is a club comprised of women of all ages and are considered the ""hidden gems"" of the community. We provide community service to many of the efforts which benefit so many:</p>
<p>- Participate in the City's Red, White and Blue Parade</p>
<p>- Participate in the City's Annual Sunday FunDay Event</p>
<p>- Support and Raise Funds for the Domestic Violence Intervention Center</p>
<p>- Organize Annual Veteran's Picnic (free event for Veteran's and their Families)</p>
<p>- Participate in the City's Annual Holiday Referral Program (Adopt-A-Family for the Holidays)</p>
<p>- Support the Mercy San Juan Hospital Oncology Program with Gift Bags for Chemotherapy Patients</p>
<p>- Partner with many Citrus Heights community service organizations</p>
<p>- and so much more!!!</p>
<p>================</p>
<p>The purpose of the Citrus Heights Women's Club is to provide <strong><span>community service</span></strong> and <strong><span>charitable works</span></strong> that promote Education, Civic Involvement, Community Spirit and Leadership among its members, while forming lasting friendships. WE ARE NOT A NETWORKING GROUP ALTHOUGH WE SUPPORT EACH MEMBER IN THEIR BUSINESS. <br> <br> We are part of the General Federation of Women's Clubs (GFWC), an international service organization, headquartered in Washington, DC. GFWC consists of members from all 50 states and more than a dozen countries! <br> <br> Members work locally to create community and global change. <br> <br> Club members are mothers, sisters, wives and daughters. They are working inside the home, outside the home or retired. We come from all walks of life to come together to serve our community. <br> <br> We have projects that include the following focus areas: <br> * Arts <br> * Education <br> * Conservation <br> * Home Life <br> * International Outreach <br> * Advocacy for Children <br> * Public Issues <br> * Domestic Abuse Prevention <br> <br> Check out our website for further information: <br> <a href=""http://www.chwomensclub.com"">www.chwomensclub.com</a></p>"
Oakland Mastermind for Entrepreneurs,"<p>Are you finding it challenging to work alone? Do you crave feedback on your ideas? Are you looking for referrals, new clients or interested in business collaborations?</p>
<p>This Mastermind Group is designed to help you brainstorm, get valuable feedback, and support you on your entrepreneurial journey. Joining the mastermind group is a great step towards getting out of our own way and playing a bigger game with your business and join a community of thriving change-makers.</p>
<p>The format is a roundtable discussion where everyone has time to speak about your business and receive feedback. Bring your questions, challenges, and successes to share: What are you struggling with in your business? What do you want support with? What do you want to offer the community? What do you want to be held accountable for?</p>
<p>This group is about the members who join. So what are you waiting for? Join us and help co-create a community of empowered, supported and thriving small business owners in the East Bay.</p>
<p><strong>About the Facilitators: Cory &amp; Gail Nott, Business Relationship Coaches</strong></p>
<p>We work with visionary business owners who ""fell"" into their business and love what they do... but they are overwhelmed with the ""business side"" of business.</p>
<p><span>Cory works with clients on creating an expansive vision and developing ambitious strategies. Gail supports them through action and accountability</span>.<span> Together, Cory and Gail synergistically help business owners engage their passion, build community, and exponentially grow their amazing businesses.</span><br></p>"
Promote Her Business,"<p><strong><span>Join the Promote Her Business (PHB) Community!</span></strong></p>
<p><span>Promote Her Business (PHB) is a powerful professional development organization for small to mid-sized businesses , who already have great products and services and want more people know about them! &nbsp;And our community is very passionate about promoting each other and having more women get known for their greatness!</span></p>
<p><span>PHB is proud to be known for <strong><span>promoting your business: Online. Offline. All the time</span></strong>!</span></p>
<p>We are also proud to be known for welcoming both Women and Men to participate in the community:)&nbsp;</p>
<p><span>In order to give you as much traction as possible in the marketplace and support you in creating legacy brands and sustainable businesses, we specialize in the following:&nbsp;</span></p>
<p>1) Teaching you -- and your team -- the <b>BEST PRACTICES</b> in Marketing, Sales, and Business Strategy for this YEAR</p>
<p>2) &nbsp;Referring you to our ""<b>PHB Preferred"" Network</b>, so you can get known for what you do best and delegate the rest (to already vetted experts)!&nbsp; <br></p>
<p>3)&nbsp;&nbsp;Introducing you to a community of extremely <b>supportive high-achievers,</b> so you can network with new power partners, form strong strategic alliances and hold each other accountable&nbsp;</p>
<p>4) Giving you opportunities to<b> showcase your products/services</b> at socials, in our ""most interesting product/service"" contests and/or apply to be a speaker or part of our referral network &nbsp;&nbsp;</p>
<p>5) Putting on<b> both virtual and in-person</b>&nbsp;<b>events</b>... so you can benefit from being part of the community no matter where you are located &nbsp;</p>
<p><strong>For more information go to</strong> <a href=""http://www.PromoteHerBusiness.com""><strong>www.PromoteHerBusiness.com</strong></a> <strong>and remember to join us on Facebook!</strong></p>"
Compassionate Women's Support Network,"<p>A network helping women find their way with compassion and empathy, as their lives take unexpected turns. Are you thinking about getting a divorce? Did you end a relationship and wonder what to do next? Did you lose a partner unexpectedly and need support? Do you want to meet others to support and guide you through your new life journey? Come to our Meet-Up and meet others in your situation.</p>"
Sonoma County Connections Forum for Women in Business,"<p>We are a nonprofit organization that serves women in business through community service &amp; education while providing networking and support for women in business. We meet twice a month, first Wednesday evening Mixer and third Friday morning breakfast. We have great speakers and fantastic networking!</p>"
Bay Area Women's Networking Alliance,"<p>Bay Area Women's Networking Alliance is for women with different industries who would like to practice their networking skills and to network with both women&nbsp; and men of purpose and action.</p>
<p>We are dedicated to host fun, social and networking and dance events in a friendly, relaxed and quality environment.</p>
<p> Our mission is also to assist women entrepreneurs, start-ups and established companies to achieve better success in their business through networking and socializing with other professionals. </p>
<br>
<p>I am looking forward to meeting you soon!</p>
<p> <br></p>
<p>Brandi Madison</p>
<p>Organizer <br></p>"
Data Driven Women,"<p><span>Data Driven Women is a community-building series and speaker event that brings together women (&amp; men) passionate about building a stronger female tech community. Our name doesn't come from a desire to discuss only data, but rather from a data driven approach that allows us to bring metrics and&nbsp;measurement to different topics like innovation, diversity, entrepreneurship, and technology.</span></p>
<p><strong><span><span>What to Expect...</span></span></strong></p>
<p><span>Two to three times per quarter we open up our doors to members of our community to meet, connect, eat, drink, and hear inspiring women leaders share their story. A typical event looks something like this:</span></p>
<ul> 
 <p><span>6:30 pm&nbsp;Doors open - Food, Drinks, and Networking</span></p> 
 <p><span>7:00 pm&nbsp;The Talk Begins</span></p> 
 <p><span>7:30 pm&nbsp;Q&amp;A and Discussion</span></p> 
 <p><span>8:00 pm More Networking</span></p> 
 <p><span>8:30 pm Goodbyes</span></p> 
</ul>
<p><span> <br> </span></p>"
Video Screening & Discussion - Healing Compulsive Eating,"Meetup to see the video of a hit show, ""LEFTOVERS, the Ups &amp; Downs of a Compulsive Eater."" Discussion follows. Hosted by Marcia Kimmell, one of the actor/creators of LEFTOVERS and the SF Integrative Health Network's Scott Hanedy. Sunday, June 2nd, 4:30. RSVP required. (See www.meetup.com/SF-Integrative-Health-Network/events/117015992/). This event is a project of Theater Residencies, Inc., a non-profit corporation."
Networking for Women Entrepreneurs,"<p>This is a meetup for women who want to learn from other women on how to start a high-tech company in Silicon Valley. We will learn from one another, network, make introductions for each other, and create an old girls network. We will bring in women who are at different stages at their startups to talk to us about how they did it, what worked and what did not work for them. Come join this exciting group and create your community.</p>"
Healing Circles for Animals and the Planet,"<p>We are a group of animal lovers, Reiki practitioners, healers....and others who desire to help heal animals and the planet.&nbsp; If you dream of a peaceful planet where animals are treated with kindness and compassion, if you would like to help animals and the planet ... and learn tools that can help you in your own life at the same time ... then I hope you will join us.&nbsp; Current practitioners and healers are welcome, although no experience or training is needed.&nbsp; All you need is an open heart and a desire to connect with like-minded and like-hearted people who love animals and want to make a difference in the world.&nbsp; We will learn many different healing modalities, work with different animals and issues, and have fun at the same time.&nbsp; We hope you will join us in this fun, powerful and inspiring group.</p>
<p>Please note we do have members who have not joined through Meetup, so there will be attendees who are not noted on this page.</p>"
Wicca Wimmin's Moon Ritual of Marin,"<p>Blessed Be Sister! This is a Wiccan Full Moon Ritual of Pagan Goddess Worship for women, to celebrate our femininity and nurture our souls. This Sister Circle loosely follows Starhawk's style in her book The Spiral Dance. We will call in the four directions, invoke the Goddess, join our energies and raise up the cone of power to bless the world, each other, the cauldron and ourselves. The Ritual is very inclusive and you may bring things to put on the altar, or put in the cauldron to be blessed. Bring your drums and magic tools, and anything that honors the Goddess, wimmin, and your natural yin. This is a celebration of our womanhood, free of the male dynamic, for our spirits to be strengthened in total safety, &nbsp;and our souls healed. Join and enjoy as we honor each other's natural womanhood, to consciously align our selves with Mother Nature's cycles. The Full Moon energy is for fullfillment of life, love, health and all goodness. Ritual is followed by a vegetarian pot luck.</p>
<p>Brothers, men, do not join this group. &nbsp;You will be banned. Please, give your invasive and disrespectful bothers a pull up and tell them to honor our boundary. If you are genuinely interested in Wicca, read The Spiral Dance by Starhawk, and join my meetup Wicca and Witchcraft Training, then you may call me, Reverend Joey Talley, at 415.990.6020&nbsp;</p>"
Hip Chicks in Midlife,"<p>You know you're in midlife when you're doing what you've always done but now, you're getting different results. Your body isn't supporting you the way it always has and other things are changing in your life: your kids may be grown or leaving, your parents and/or your spouse may be gone, your employment situation may have changed and you may have outgrown other aspects of your life or lifestyle. Let's get together and meet some new friends, support each other's transitions, reinventions and transformations. We'll get together for a meal, discussions, hikes, parties, outings and especially for support. There will be opportunities to teach, learn, coach and mentor each other.</p>"
"Women Empowerment & Self-Fulfillment, Bay Area","<p>If you deserve a better life style &amp; personal growth, wish to be in control of your life, desire to become significant in other people's life, this is the group for you. We believe that each of us has a deeper purpose in life. It is about time to find your full potential and start your journey for success. We will share with you the secrets of mindset for success. Join, be inspired, empowered, and be enhanced for self-fulfillment.</p>"
Freedom Hikes (For Women),"<p>I have designed Freedom Hikes for women in the SF Bay Area or Santa Cruz County who want to; make new friends, have fun!, explore nature, reconnect with their inner voice and gain clarity about direction and decisions - particularly around career/job in a beautiful, peaceful environment, while enjoying a guided, meditative experience by a Business &amp; Freedom Coach (me :)).&nbsp;</p>
<p>This unique experience is about finding your freedom. This includes identifying the things that may be holding you back while releasing, and embracing what's true for you in a supported, safe and fun environment. Hikes are moderate and in various gorgeous locations around the bay area and Santa Cruz. I cannot wait to meet YOU and come together as sisters!</p>"
