,meetup_0_description
24,"Working together to promote Senator Bernie Sanders platform and his efforts to put politics back into the hands of the PEOPLE!  #OurRevolution must continue beyond the 2016 election. If you wish to join us, we would love to have you! 
Please provide some brief responses to the questions asked and we will get back to you as soon as possible. "
25,"Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference."
28,"  Have you heard of Ayn Rand and wondered why she's so popular? Why her books are still selling in the millions each year? 61 years after Atlas Shrugged was published (her most acclaimed novel), it still sells hundreds of thousands of copies each year! 
  Have you read Atlas Shrugged? The Fountainhead? Do you enjoy philosophy? Then join us at the U of MN campus - Minneapolis. We meet for philosophy, discussion, reading, and videos - all about Rand and her philosophy, Objectivism. 
  You don't have to be a U of MN student and you don't have to know anything about her or her philosophy.  Just bring an appetite for learning and a genuine interest in knowing more about her... We'll be meeting at at the Carlson School of Management on the West Bank - time and date TBA. Stay tuned for more announcements!"
42,"Welcome, we're glad you're joining/considering joining us! This is a book club for feminist folks, all genders welcome. We will be reading non-fiction, fiction, and memoirs either by self-identified feminists or by anyone critical of gender oppression (and however this intersects with other types of prejudice and discrimination). 
"
45,"Breitbart is a news and opinion website focusing on modern politics and current events, and can be found at Breitbart.com.
Anyone may join this Meetup group as long as they are a regular reader of Breitbart.
Once a month, Members of this group will meet for coffee at a Barnes and Noble, and discuss Breitbart’s latest news."
52,"Want to meet other feminists? Make DC a more feminist place? Join an awesome feminist book club? DC NOW is member led so we do what our members want - from happy hours to anti-street-harassment campaigns. Join us! To learn more, visit our website: www.dc-now.org! (Only a small number of our members are organized via meet up.)"
56,"We are a group of people in the Fargo Moorhead area that opposes all forms of animal exploitation and do not believe animals are a legitimate food, clothing, or product source.  (Mission statement in the making.)
  This is an offshoot group of FMVeg - Fargo Moorhead Vegetarians and Vegans over at FMVeg.org.  Please join FMVeg for free veg potlucks. Everyone is invited, so join us if you haven't already!"
59,"Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, animal welfare and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.
WHAT YOU CAN DO  - Join this group now  - Schedule one of our Meetup ideas in your neighborhood  - Discuss your own Meetup ideas in the group conversation
OUR COMMUNITY GUIDELINES  - Be Peaceful  - Be Safe  - Be Kind  - Be Respectful  - Be Real"
60,"Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.
WHAT YOU CAN DO - Join this group now - Schedule one of our Meetup ideas in your neighborhood - Discuss your own Meetup ideas in the group conversation
OUR COMMUNITY GUIDELINES - Be Peaceful - Be Safe - Be Kind - Be Respectful - Be Real"
67,"Interested parties will consist of those called to the 'plight of the homeless."" Pennies From Heaven is a Non-Profit organization that has networked to provide for the homeless community in the St. Louis City and County areas since 1998.
Our newest campaign is to create jobs for homeless men and women with families or those with the desire to become employed to create a better life; as they learn of a better way of life. Pennies From Heaven needs committed people called to make a difference in the life of the homeless, whom are able to visualize ""Wholeness for the Homeless"". 
Coming together to support and supply ideas to develop the employment piece to the vision is the mission for any and all fundraising efforts by ""Pennies From Heaven Fundraising Meetups"".  It is our desire for each member to get on board with existing ideas as well as be willing to incorporate new ones to promote a well rounded, piloted program for vocational growth for the homeless.  
Please make sure you RSVP for all up coming Meetups -- I look forward to meeting each member and share ideas with you.  We have a fundraisers we are preparing for and need the man power of those who feel the burden of this call to take part. 
Thank you and God Bless you! 
Marcia Baker   marcia.marciab.baker5@gmail.com
 
 "
70,"This site offers factual information and viewpoints that might be useful in arriving at an understanding of the events of our time. We believe that the information comes from reliable sources, but cannot guarantee the information to be free of mistakes and incorrect interpretations. 
Please be sure to enable the site to send you emails.  
To see unobstructed tiles, click on Sponsors and scroll down.
Introductory Video:

Theme songs:   (The Visitors).
  (Faster). 
We are residents of the Greater St. Louis Area (and other areas throughout the world) concerned about the many disturbing aspects of the 9/11 attacks and interested in finding out more about those events. We share the St. Louis Fusion Center's dedication to "". . . the collection, analysis and dissemination of information used to detect, defend against, or respond to acts of terrorism."" We have many disagreements, but we agree that 9/11 is worth inquiring into. We are inclusive as opposed to exclusive. Generally, we believe that when an object moves under the influence of gravity, the object goes down, not upwards and outwards in an arc, as objects did when the Towers ""fell.""
James Ridgeway says:
"". . . not one person in the White House—or in the cabinet, or the Pentagon, or anywhere in the Bush administration—was fired because of failure to perform on 9/11. Not one person resigned. With the exception of Richard Clarke, not one person apologized to the victims' families. Nearly twenty-eight hundred people died, and not one of the people responsible for protecting them was held accountable."" (The Five Unanswered Questions about 9/11, p. 88.)
And, several were handsomely rewarded.
  
Regarding the murder of the Russian journalist Anna Politkovskaya, who was critical of Vladimir Putin, Reporters Without Borders states:  
""Novaya Gazeta editor Dmitry Muratov said there was still a 'political taboo' about the real mastermind’s identity. 'Six years have gone by – it is time to ask difficult questions,' he said.""
Fifteen years have gone by since September 11, 2001. Here in the United States, we too say: ""It is time to ask difficult questions.""
ATTEMPTS TO DISCOURAGE INQUIRY
(If you have not read Ibsen's play An Enemy of the People, it is available here:   .)
We are aware that the bulk of the mass media are owned by at most six international conglomerates, and that they are united in their efforts to portray any inquiry into the events of 9/11 as somehow harmful or hurtful to the families of the victims of that catastrophe. But it was precisely a group of widowed mothers who first raised questions, and who pressured the government into conducting any investigation whatsoever. In the words of one of them, Patty Casazza, ""Likeminded, we all had questions. We all had questions, and we wanted answers.""  Their struggle to obtain information from the government is documented in the video 9/11: Press for Truth, at:  .
Seventy percent of their questions went unanswered by the 9/11 Commission, and are unanswered still.
Survivors have sued for the loss of their loved ones, and not one family member's case has been allowed to go to trial, where rules of evidence would permit questioning in public and under oath, and deponents can be compelled to answer. Widowed 9/11 family member Ellen Mariani  has challenged the official story in the U.S. court system for over a decade; repeated dismissals forced her to appeal unsuccessfully for a hearing by the U.S. Supreme Court. See:  .
We are guided by Donna Marsh O'Connor, who lost her pregnant daughter on 9/11.  Her feelings may be seen at: 
At:    she begs our members to use ""reasonable arguments,"" and ""just go out into the world and ask the fundamental questions of that day.""
At:   she begs the media to do their job.
While we do not expect media employees to disregard the requirements of their employers, we suggest that others are under no obligation to ignore obvious facts. Some of these obvious facts are on display in the short video ""The Official Account of the Twin Towers,"" which you are invited to see and share at:  .
Law Enforcement Officers have taken an oath to defend the Constitution, and so are under an obligation NOT to ignore obvious facts. If any are reading this, we suggest you also view:  .
Employees of the Department of Homeland Security are invited to view:  , and the related videos on that YouTube page.
Underlying the reluctance to look at such facts is the possibility that the government of the United States may have told its citizens a lie. That more general distrust of government is frequently called ""conspiracy theory""  by the mass media, and is sometimes characterized as a sort of mental illness. Regarding this matter, one may consider the statements of government psychiatrist Steve Pieczenik, M.D., Ph.D., at:  , and those of a panoply of psychologists and psychotherapists at 
""To test whether people conformed because the answer was uncertain, Asch devised a different experiment. Rather than putting people in a situation where the answer was unclear, he wanted to see what they would do when the answer was obvious. When people could easily tell the correct answer right away and thus would have no need to rely on others. The line-length task was a perfect choice. Even those with poor eyesight could tell the correct answer. They might have to squint a little, but it was right there in front of them. There was no need to rely on anyone else. Asch thought that when the answer was clear, conformity could be reduced drastically. To provide an even stronger test, Asch rigged the group's responses . . .
""Asch used the line task because he assumed it would reduce conformity. Real participants could see the right answer, so it shouldn't matter that others gave the wrong response. People should act independently and go with what they saw. Maybe a couple participants would waver once in a while, but for the most part people should give the right answer.
""They didn't.
""Not even close.
""Conformity was rampant. Around 75 percent of participants conformed to the group at least once. And while most people didn't conform on every trial, on average, people conformed a third of the time. 
""Even though people's own eyes told them the correct answer, they went along with the group. Even when they could clearly tell that the group was incorrect."" 
The video 9/11: A Conspiracy Theory, made by the independent journalist James Corbett, expresses another response to such characterization, and is available at: 
There is a Fifties-vintage song by ""Osama & the Bin Ladens"" (which in my opinion is excellent) entitled, It's All A Lie (Still You Believe) at:    .
At the website We meet occasionally at various locations.
The group has assumed the form standard for most political activism groups: main body of members, and a smaller, self-constituted body, often called a ""steering group"" or ""steering committee.""    It should be noted that although Meetup automatically assumes that all and only the people who RSVP YES show up, and not anyone else, this is frequently not the case, so the attendance figures which Meetup automatically posts are frequently not accurate, and comments on and reviews of the meetings are frequently neglected---by everyone involved. This is not advocated, but it is a fact. Don't assume a meeting was small or that nothing happened just because Meetup's tally and comments seem to indicate that. We're often more interested in doing than in telling what we've done, and we just have too many events to be much concerned about rating them.   In addition to talking in person, we have recently opened a 9/11 map on DebateGraph, in which we invite you (i.e., everyone) to participate. Go to:   Please be sure to enable the site to send you emails.   Contact:  Donald Stahl  politicstahl@hotmail.com.
  "
73,"Through the use of repetition, social media and entertainment, this group is looking to develop and deliver a new message to Black youth.  This is in an effort to refocus and realize the Dream that Martin Luther King had for America."
76,"Do you believe that people may believe as they wish, but that they should not impose their religious beliefs on others and that the government's role is to protect the rights of all to believe as they wish while remaining religiously neutral? That government should stay out of Church and Church should stay out of Government? Come to an event and check us out. More information on our Web page, "
77,"The Ethical Society of St. Louis is a Welcoming Home for Humanists and their families, an inter-generational community of people dedicated to deed before creed. We are a congregation that focuses on this world and this life--making them better for all people. We have weekly activities for children, teens, and adults interested in meeting like-minded people; in ethical, personal, and intellectual growth; and in social justice. All our activities are open to all.
Our main meeting is Sunday at 11am at 9001 Clayton Road, 63117. For lots more information, see our web site at ethicalstl.org, and/or "
78,Working to ensure freedom and liberty policies for Missouri and holding our elected officials to their campaign promises.
80,"For meeting Dates & Times, or other information, please email Dan at: dtsullivan@charter.net 
We typically switch to getting together once a month in the summertime and in December.
Otherwise we meet twice a month, on first and third Monday evenings.
We are a friendly, informal organization, dedicated to reading, studying, & discussing Ayn Rand's ideas, books by other Objectivist writers, and current events or other issues from the perspective of Rand's philosophy, Objectivism."
81,"This Meetup is a ""safehouse"" designed specifically for those who seek to finally obtain the freedom promised by Dr. Martin Luther King, overcoming those last few remaining chains of slavery: racism, dependency, and the self-defeating and erroneous belief that their progress in some way depends upon the beneficence of White people. The leader of the Meetup is Mason Weaver, a former Black militant and radio call-in show host, and the author of It's OK to Leave the Plantation, Tribalism, and other books. Today, he is an activist, a powerful public speaker, a businessman, and an entrepreneur. He appears regularly on national TV, cable, and news programs."
82,"Bigger models have stopped calling themselves Plus-Size.  They now use the term Curve Model.  I like that.   Hence, Curve Feminist was born.
Are you done with diets and ready to accept your body as the flawless vessel it is? Are you finished apologizing for your size? Do you consider being happy with a fat body to be a political act? Is feminism (in any way you define it) a principal tenet of how you live your life?
Whether you think of yourself as curvy, Rubenesque, large, or fat, you're welcome to join this Meetup. We'll get together for drinks, discuss books, and enjoy the company of our fellow feminists-of-size. LGBTQI+ friendly. (Yes, trans-women and gender-non conforming feminists are welcome!) If the group grows and becomes active, we may expand into activism. However, this Meetup is first and foremost about creating community for fat feminists.
This is a safe space for fat women and gender-non conforming people. No diet talk or body shaming are allowed. Events will only be made visible to approved members. Persons who identify as male will not be granted membership."
86,"This is a philosophy workshop that focuses mainly on ethics and political philosophy/theory. The plan is to meet at least once a month to discuss a predetermined topic. For each workshop, I will begin by presenting the issue and then guide discussion. I usually have a handout for everyone as well. 
This workshop is designed for newcomers, so don't be shy!
Past topics include: the separation of church and state, paternalism, children's rights, libertarianism, and fairness. 
Find us on Facebook! 

About me: My name is Jason Chen and I'm doing my PhD in philosophy at SLU. I'm hosting these workshops because I want to give something back to my community. "
89,"Vision: Become a well-organized group for free speech in St. Louis.
Mission: Safeguard and nurture free speech in St. Louis through fellowship, education, and mentorship.
**All thoughts are welcome**
Three rules: 1) Control your emotions. 2) No initiation of violence. 3) No threat of violence.
Our long-term goal is to organize a Free Speech Rally in the St. Louis area."
94,"Here is your chance to move the water cooler at work out amongst the rest of the world. This multi-partisan group will talk about everything from politics to religion to race; the things that you aren't supposed to talk about in public. 
We are about the sharing of ideas and points of view. Points of view which will likely be different from views you currently hold. The goal is not to solve anything, but to leave the Meetup with a better understanding of how someone who hold beliefs completely opposite from you can come to their conclusions. This requires disagreement, but respect for other people and the acknowledgement that they are completely entitled to the views they hold. 
So bring your brain and your passion, but leave your anger and condescension at home. It is encouraged that we all leave as friends, but required that we don't leave as enemies. For this group to succeed, it is important that we have a diverse group of people from conservatives to liberals; from believers to non believers, etc. We need different nationalities, ethnicities and religions that come from all walks of life.
Caution: If you are a hothead, this is not the group for you. You won't enjoy the Meetup and neither will we. Besides, there are plenty of what I call ""Lovefest groups"" out there that are willing support your already held beliefs. This is a ""Learnfest!"" So come test your views on politics, heaven and hell, the best positions for making love, affirmative action, etc...what you learn should and could be fun!"
95,"The purpose of this meetup is to campaign for our liberties, which isn't limited to just government action, but taking personal responsibility to educate ourselves and fellow citizens on the US Constitution and our personal responsibilities towards our families and fellow citizens.
It is important to reach as many people as possible."
97,"Pachyderms believe that more good citizens need to participate in politics. We offer a meaningful movement of political clubs as a practical means by which broad citizen participation can be achieved. We are also a bit of a social club in which you can discuss the topics of the day with others. We are a Republican club,but there are different views within our club. This club has about 40 active members only a few us participate in the meet up page."
99,"This is for the ENTIRE state of Missouri:
We are looking to create a forum for a state-wide discussion of legislative issues facing Landlords. Recently, Independence Missouri passed a very intrusive, unconstitutional ordinance requiring bi-annual rental property inspection. This was passed with over 200 landlords in the meeting voicing opposition. They clearly didn't want our input. This ordinance seems to be on a roll and will appear in a community near you soon.
Comparing Missouri law to Kansas law, it is evident that much needs to be improved in the landlord tenant area. But, we need your help. Even if it is only your voice and your occasional attention. YOUR PARTICIPATION MATTERS."
103,"This Group will be reactivated in early 2013 when Michael Stevens returns from St. Louis to retake the reins, and I shall (very happily) relinquish my placeholder role.
In the meantime, feel free to join (or re-join) and acquaint yourself.


 Thanks,

 Rajesh.


 ---------------------------------------------------


 (Original Mission Statement)


 The Mission of this organization is to promote socially progressive issues through advocacy, education, and direct ballot initiative.
GKCDFA is also committed to following the founding principles of Democracy for America in helping elect socially progressive fiscally responsible candidates to local, state, and federal offices."
105,Those who value truth and the golden rule and who realize that the human journey is being steered through deceptions and big lies benefit from sharing information and techniques for communicating the difficult truths to those not yet awake. Research findings of Christopher Bollyn form a basis for our agenda of exposing who really did 9/11 in order to achieve justice.
106,"We are the Kansas City, MO chapter of Drinking Liberally (www.livingliberally.org/drinking) We meet at the 75th street brewery every Wednesday ( holidays excepted) at 7 PM and at the Westport Flea Market on the 3rd Sunday of the month at 6:30 PM. We also have a Sunday Brunch on the 1st Sunday of the Month at the Record Bar at 12 PM. From time to time we may have a special event such as getting together to watch a topical documentary. Our purpose is to give people a chance to relax and talk politics in depth without a preset agenda or program. Although we may sometimes have a speaker. And even though we are a liberal organization, everyone is welcome as long as they are civil and respectful.
Also see the web page. WWW.Livingliberally.org
And we're on facebook Drinking Liberally KC
and Twitter @DrinkliberallyKC

Also we are looking for additional hosts who are younger and can connect with millennials
We welcome elected officials and all candidates running for office.  Please put us on your schedule and we can notify our members.

"
108,"Focusing on politics that work for the benefit of Missouri, and bring it into the 21st century where globalization and high tech are the drivers of the economy. Free The State exists to bring together like-minded people to create the future of Missouri."
109,"Our goal is to build a network of people committed to preserving, protecting, and defending the the Constitution of the United States of America and to help restore our government to ""we the people"" with less regulation, debt, and taxes in our lives. We also want to find like-minded people who are seeking to be more self-sufficient and personally responsible for their own pursuit of life, liberty, and happiness.
Please join us by clicking the JOIN US button to the right."
110,"We are a political action/discussion group dedicated to advancing the cause of individual rights here locally,statewide and nationally through discussion,education and activism.We consistently advocate a true free market economy,personal freedom and a peaceful non-interventionist foriegn policy."
112,"The Moniteau County Democrat Club is an organization composed of Democrats interested in:
-The election of Democrats to political and other offices on the local, state and national levels-Assisting Democrats interested in becoming candidates for such offices-Promoting the Democratic Party in Moniteau County, Missouri
We seek to foster the ideals and principals of the Democratic Party including educating members and the public and providing all people, through the election of Democrats, the highest degree of social justice and welfare."
118,The purpose of this Meetup Group is to facilitate grassroots campaign organizing. This Meetup Group will provide you with the networking and organizational tools to become actively involved in The Campaign For Liberty and Constitutional Adherence in the Kansas City area.
121,"Kansas City Animal Save (KCAS) is a nonprofit sister organization of Toronto Pig Save, part of The Save Movement. We are a group of conscientious volunteers who follow a Gandhian love based approach and hold peaceful vigils to bear witness of animals on their way to slaughter. With our campaigns of information, we make the public aware of the conditions in which animals used for food are raised, transported, and slaughtered. Our goals are to put “glass walls” on factory farms, live markets, and slaughterhouses in the Kansas City Area; and contribute to the public debate about the place of animals in our society.
?We are an inclusive group that welcomes vegans and non-vegans alike. We educate people on the benefits of a vegan lifestyle, the unique and distinctive personalities of farmed animals (like those we recognize in companion animals) and their inherent rights to their natural lives.
Please see The Save Movement for more information: 
Our facebook page:
Our facebook private group:"
122,"Resist Hate KC connects Kansas City residents with local organizations to influence the legislative process, defend and advance human rights, and hold our elected officials accountable. Together, we can help Kansas City resist hate."
126,"Need some support and comradery in these crazy political times?   Join us! 
We are a fun, friendly, open-minded, progressive-thinking group of baby boomers.   You should be a Baby Boomer (born 1946 through 1966) and live in or near the Kansas City area. Our list of activities include stimulating discussions, socializing, dining out, pot luck/game nights, movies, cocktails, exploring new places, theater, concerts and more. Couples as well as singles are welcome. This is not just for women. Men, don't be shy about joining. 
This is an awesome group of quality people, easy to get to know, intelligent, stimulating conversationalists, and we have a lot of fun at our meetups! Join us in building great and lasting relationships with like-minded people. We welcome your input and suggestions for recreating and designing this group as we go along. 
In consideration to the organizers and group members, please be conscientious regarding your RSVPs.  If you RSVP ""yes"" and find you cannot make a meetup, change it to ""no"" instead of just not showing up.
Note: You need to have a recognizable picture of yourself with your Meetup profile. If you want more privacy, just post your first name or first name and only the first letter of your last name on your profile This can be changed through settings and edit your name. Here are instructions to post a photo. It does not work from a cell phone usually. 
Add or change your Meetup profile photo: Click your account dropdown, then select ‘Profile’ from the menu that appears. Click ‘change your photo’ on the right side of the page. Select one of the following options: Use my Facebook photo, Upload a new photo from your computer. Click ‘Done’ when you’re all set.  
Membership is required to attend meetups unless you are coming as a member's guest.  There is a $7 yearly fee to be a member of this group. New members will have a 60-day trial period to attend meetups before paying the $7. This helps cover the yearly fee to Meetup.   You may come as a guest three times.  If you like us, we ask that you join as a member. 
 
"
127,"The League of Women Voters (LWV) encourages informed and active participation in government, works to increase understanding of major public policy issues, and influences public policy through education and advocacy. The League is a nonpartisan organization that works to register voters, provide voters with election information through voter guides as well as candidate forums and debates.
Did you know:
• More than 40% of eligible Kansas voters didn't vote in 2016.
• Kansas has some of the most restrictive voting laws in the United States. It is one of the few states to require both voter ID at polling places and proof of citizenship when registering to vote. 
• Since 2011, the “proof of citizenship” requirement has disenfranchised tens of thousands of potential voters. For example, in 2016, only 7,444 of the 22,000 voter registration applications submitted February 1 through February 21 were completed with proof of citizenship. 
• That means more than 66% of applicants had their voter registrations immediately ""suspended,"" and suspended registrants were purged from the voter rolls within 90 days if documentation requirements are not met. Because suspended voters are purged on a rolling basis, it is hard to give an exact number, but at least 37,000 were disenfranchised at one point in 2015.  
• This disproportionately impacts young voters, ages 18 through 29. Though they represent only 14.9% of the electorate, they make up more than 58% of suspended applicants registered through the Motor Vehicle Department. 
Source: "
138,"The purpose of this group is to advance the interests of the vast majority of the American people. That's a simple idea that Government at many levels no longer follows.

The results are disastrous, principal among them being cumulative unfunded federal liabilities with a net present value in excess of $65 Trillion.  See  and see: 


The time for action is now, it will not start with our government ""leaders"" but rather with informed citizens spreading the word to their neighbors. The facts are there and unmistakable. 

The group is free to join, and meeting attendance is optional."
144,"InfoWars Wichita is for those who are informed or want to be informed on the issues. We CAN handle the truth and know it is ugly. This is a place to meet others who recognize that we are in an information war and are willing to fight against corruption despite the difficulties.
Places to find truthful information:
Infowars.com - includes an Internet radio show M-F 11am to 3pm, replayed continuously until the next show.  They have several reporters and are rapidly expanding as of June - July 2017.  Their information sources include insiders in police and sheriff's departments, FBI, NSA, CIA, Secret Service, Homeland Security, U.S. military services, etc. - all the way up to and including President Trump himself.  Because of their inside sources, they are able to be first to break many new stories.  They are very cautious to get the stories right and are quick to issue retractions when they find their information is shaky.  Local radio programing on 1440 KQAM radio Sundays 5pm - 7pm. 
PrisonPlanet.com - part of Infowars.com
DrudgeReport.com - National headlines with links to stories
WND.com - World Net Daily has many reporters and writers.  They have a long list of new stories daily and an extensive archive.
TV - Local channel 26.10 ""Vibrant"" carries InfoWars programming.
Radio station TXLR (Texas Liberty Radio) plays the full 10 hours of the InfoWars radio programming live Monday through Friday from 8:00am to 6:00pm CDT.  It is also on Sundays from 4:00pm to 6:00pm. For Android phone users you can listen to this programming via the TuneIn App.
8:00am - 11:00am M-F   David Knight on the Real News Show 
11:00am - 3:00pm M-F   Alex Jones on the Alex Jones Show 
3:00pm - 6:00pm M-F   Owen Shroyer and Roger Stone on the War Room Show.
4:00pm to 6:00pm Sunday Alex Jones on the Alex Jones Show.
Goals:
To cooperate and coordinate with others who oppose corruption and lawlessness.  The U.S. is about to be destroyed.  Her detractors have been plotting her destruction since before the U.S. was established and they have been successful in placing their people in strategic positions in all levels of government, the news media, the education establishment, the churches, etc.  We have been given a reprieve, a delay in the destruction, but it will last only a few short years.  We must use this time well.  Our lives, and those of our children and grandchildren depend on what we do now.  
 Contact:
If you are serious about wanting to Meetup, please contact Glen directly via either of the following:
Email:    GLENLB88@GMAIL.COM
Phone/text:  316-519-2501 "
145,"This is a private group of ladies who are all liberal democrats. We gather to discuss politics and current events. Our intention is to keep this group very small and close-knit; therefore, you must be invited to join by an active member of the group. "
153,"The912Project-Nebraska is a non-partisan, non-violent, and all volunteer organization.  We believe in principles and values; not political parties.  We seek to represent Nebraskans who are concerned with the unconstitutional actions, size, and scope of our federal, state, and local governments or the growth these entities wish to achieve.  We believe in the 9 Principles and 12 Values set forth by the national The912Project, and shall pursue the preservation of the government promised us by the Constitution of the United States of America.  To that end, we support activites and causes that promote the 9 Principles and 12 Values.

It shall be our mission, working in conjunction with The912Project, to educate Nebraskans pertaining to the proper role of government as described in our Constitution, inspire Nebraskans to connect with one another in a constructive manner, and provide for a large and peaceful movement for Nebraskans who wish to preserve a United States government that is a government by the people and for the people.  

“The 9-12 Project is designed to bring us all back to the place we were on September 12, 2001. The day after America was attacked we were not obsessed with Red States, Blue States or political parties. We were united as Americans, standing together to protect the greatest nation ever created.”"
157,"We discuss freedom, security, and sovereignty on a local, state, and national scale. The Constitution and the Bill of Rights are our guiding documents, and we study such work as the Federalist Papers, material from the Heritage Foundation, and so forth. Consider this an informal think-tank group, welcoming conservatives, and libertarians of any age. We do not welcome those who do not subscribe to conservative and right-leaning principles and ideology. This is not a debate group. We do not tolerate hate, but we do accept right-leaning activism as action is part of our civic duty. Yes, every citizen has a civic duty to be involved in the governance of this country."
159,"  MISSION STATEMENT   We are a diverse group of individuals with one common goal: To return our country to its intended state as put forth by its Founding Fathers. Our country, sadly, is unrecognizable to us today, but we can and will affect the proper change that will, once again, allow all American citizens, as well as their posterity, to prosper.   Our Purpose:  The purpose of this organization is to educate and inform all Americans of the Founding Fathers principles of freedom, to advance public policy consistent with those values, and to engage with our elected officials in promotion of those principles   Members of this group will contribute to our mission by supporting and defending the U.S. Constitution, and by advocating for smaller government, state's rights, a strong national defense, free market capitalism, conservative principles, and freedoms guaranteed to us by God.   We expect our members to behave peacefully, responsibly , and respectfully at all times.   We reserve the right to rescind membership for any individual who (thru words or action) does not support our basic principles and mission.   Membership is FREE....... however, we encourage you to become a contributing member to help us support our meeting and activity expenses,
  "
