name,class,description
High SF,1,"Individuals with an interest or passion for cannabis, innovation and social justice. Meet like minded leaders in the community. Collaborate. Create. Enjoy.
Please refer your NYC friends to Meetup.com/HighNY NY's largest Cannabis Meetup!"
Unitarian Universalists of Livermore,1,"We are a spiritually diverse and welcoming community that offers uplifting worship, life-enriching programs, and compassionate service to the wider community. Our family-friendly services include a strong religious education program, joyful music, and inspiring sermons. We look forward to meeting you!"
Humanist Association of the Monterey Bay Area Meetup,1,"Humanism is a progressive philosophy of life that, without theism and other supernatural beliefs, affirms our ability and responsibility to lead ethical lives of personal fulfillment that aspire to the greater good of humanity.
Website (Newsletter Archive) - 
Facebook - "
New Economy Transition,1,"We are concerned about how the economy is destroying our environment and impacting our social order and peace. We will be exploring these connections with recommendations for resources to view and consider. We feel there is a degree of urgency and need to move our personal investments and priorities as well as our legislators locally, statewide and federally to a transitional economic paradigm now. Our purpose is to arm ourselves with the necessary information to talk about this paradigm shift with family, friends and politicians. "
The TechEquity Collaborative,1,"Lets get together to talk about tech equity in the Bay Area. The purpose of our organization is to connect Bay Area technology professionals with anti-displacement advocates, work-force development experts, and progressive housing developers. We have a responsibility to make sure this industry creates value for the communities we have embedded ourselves within. Join us at our events and meet ups to ensure that the Bay Area grows in an equitable, compassionate and sustainable fashion.  
 
 "
Peninsula and Silicon Valley Tiny House Enthusiasts,1,"Our Group's Purpose is to Promote the Tiny House for Every Day Use on the Peninsula and in the Silicon Valley. We achieve this by having events which showcase local individuals and groups invested in the movement, bring Tiny Houses into the consciousness of local media, advocating for policy changes in our local government on a city-by-city basis, linking Tiny House owners with parking, Builders with Buyers, DIYers with Buildspace, and to connect local individuals and organizations with the resources needed for individual builds. Please Feel Free to add your own Meet-ups :) A Tiny Houses Enthusiast's interests range from design, architecture, and construction, to minimalism, simple living, and confronting climate change. Tiny Houses draw individuals interested in Interdependent Urbanism, as well as remote off-grid independence. Anything Goes!"
Oakland Feminist Book Club,1,Let's get together and discuss great books that touch on feminist issues. Books will take place in the United States and abroad and cover a range of human experiences. Everyone is welcome (you don't have to self-describe as a feminist). Come enjoy tea/wine/snacks and conversation with us!
Womanist Film Night,1,"A recurring womanist film night put on by Womanist Trilliance, an Oakland-based womanist org. Great films, great discussion, and a bit of respite to heal up and enjoy the transformative power of art together.
Also: womanist trivia nights! art openings! potlucks! and more!
Do join us!   
 
 "
Stockton Buddhism for Peace Meetup,1,"A peaceful world can only exist if people are happy. Through our practice of Nichiren Buddhism, we awaken to the dignity and power that reside WITHIN us and TRANSFORM ourselves on the DEEPEST level. We are the Soka Gakkai (value creation) lay organization who chant Nam Myoho Renge Kyo, we reveal our inherent Buddha nature which permeates all aspects of our lives, environment and the entire universe. As a result, we experience positive changes and undergo a PROFOUND process of SELF-TRANSFORMATION called Human Revolution, which becomes the FOUNDATION for lasting happiness and we want to SHARE with OTHERS.. SGI President Ikeda says ""A great human revolution in JUST a SINGLE individual will help achieve a CHANGE in the destiny of a NATION and further, will enable a CHANGE in the DESTINY of ALL Humankind. If you want to find out how YOU can make a difference, please join us in dialogue and an Introduction to Buddhism for Peace Meet Up."
Social Justice Fun Group 30s and 40s,1,"This group is a way for social justice-oriented folks to meet new people, break bread together and enjoy the amazing music, art, and comedy that exists in the Bay Area. The purpose of the group is primarily social, but there will also be postings for political actions and fundraisers for left-leaning causes. All members are encouraged to suggest interesting events and become co-organizers.  When joining the group please make sure to include a photo of yourself."
Radiant & Rich Eco-art Hikes for Women: Amplify Your Impact,1,"Dearest heart-centered creative woman, these outdoor adventures equip you to create the life of your heart's desire and increase your positive impact in the world. While each event centers on a specific theme, all are designed to rejuvenate your spirit, fill you with joy, ignite your imagination, and support you to define and live your life's purpose. In this group, you join a movement of soulful change-makers committed to transforming ourselves, our work, and our world in ways that ensure social justice and ecological thriving become the central drive of our culture. "
United States of South India,1,"This group is primarily for people who trace their origins to the South Indian states of Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, and Telangana; union territories Andaman & Nicobar, Lakshadweep and Puducherry. The group also welcomes people from anywhere in the World who has any connection with the region to join in, especially those from neighboring states and countries including but not limited to Bangladesh, Pakistan, Nepal and Sri Lanka.
This will be a great platform for us to learn about South Indian history, languages & cultures, to enrich our understanding of the political landscape, to find out more about the struggles of our people and to extend solidarity.
We do not and shall not discriminate on the basis of caste, religion, language, dialect, color, race, gender, gender expression, age, ancestry, origin, disability, marital status, sexual orientation."
Neighborly: Regenerating Resilience,1,"Come after work, hear some music, and meet your neighbors in a safe professionally facilitated space! *Lighten the load of feeling alone with post-election anxiety *Reconnect to purpose *Re-set your embodied presence after losses or grief *Be supported in your resistance to hate speech and tactics Catalyze fresh creativity for work and relationships in the new year
Counseling psychology faculty and alumni will facilitate creative responses guided by principles of mindfulness, community safety, playfulness, and cultural humility.
Sponsored by California Institute of Integral Studies Drama Therapy Program, Expressive Arts Therapy Program, in association with Office of Diversity and Inclusion. www.ciis.edu"
RTS Sexual Violence Prevention and Survivor Support,1,"Rape Trauma Services of San Mateo County strives to eliminate all forms of violence, with a special focus on sexual assault and abuse. Informed by our understanding of traumatic experiences and cycles of violence, we facilitate healing and the prevention of violence through the provision of counseling, advocacy, and education. We promote and adopt policies, practices, and the social values rooted in fairness, equity and inclusiveness. Learn more about us at www.rapetraumaservices.org
We invite anyone in the community interested in learning, sharing and/or taking an active role in preventing sexual violence and supporting people who have been affected by sexual violence to join our group."
Volunteer Queer!,1,"A meetup for queer folks and allies who want to volunteer with LGBTQ+ nonprofits! Meet new people and work with the organizations and activists that support our community every day. We'll meet up for volunteer activities once a month (or more, as needed!), and hang out after!"
SGI USA Nichiren Buddhists of Santa Cruz County,1,"Welcome! We are a worldwide movement of people connected by Nichiren Buddhism which promotes peace, culture, and education through personal transformation and social contribution. We have a shared commitment to realize a world free of nuclear weapons with a sustainable environment; and a world in which social justice prevails and all human lives are valued equally.
This is Buddhism in Action for Peace!"
Effect.org,1,"Join us to learn more about volunteering around the world as we utilize technology to tackle issues like human trafficking, education and the refugee crisis.
 
 "
Madison and Manzanita area meetups,1,"Any one in the Citrus Height, Carmichael, Foothills Farms, North Highlands area that is looking to make more connections with the people in their neighborhood."
Napa Food Not Bombs!,1,"Food not Bombs is a grass roots organization that protests poverty war and hunger by serving fresh hot meals in visible public spaces by claiming food from the community that would otherwise be discarded.Food is a right, not a privilege...Solidarity not charity."
Bay Area Women of Color Hiking Group,1,"This a group for WOC (Women of Color) hikers in the Bay Area. This includes cis, gay, straight, non-binary and trans women, and anyone who identifies as a women of color.
I started this group to meet other outdoorsy women of color who like to hike! Being an avid hiker and backpacker, I have often found that POCs (and especially WOC) aren't well-represented in the outdoors, and I'd like to do what I can to change that by giving WOC a safe space to hike and experience the outdoors.
If you also like happy hours and brunch, and discussing current events/social justice (and maybe even discussing current events/social justice over happy hour or brunch), we'll probably do some of that too!
Hikes will take place primarily in Marin, Peninsula, East and South Bay.  All skill levels welcome.
Please check out the following pages for additional information:
 "
Avalon Visions Movie Night,1,"Do you like documentaries and fact based movies n unique topics ranging from UFO's, conspiracies, to inspirational topics. Join this group and you can pick and choose what movies you would like to see. This is a small group with limited space. We can pause the movies for breaks etc. Come and join this group.
Donations are welcomed but not required."
Fuck Yeah Femme Productions,1,"Fuck Yeah Femme Productions creates events to celebrate the lives and identities of femmes, bitches, and whores. Sharing stories, making art, deepening our embodiment, connecting to our eroticism, laughing, crying, raging, and playing, we create the world we want to live in one gathering at a time.
Badass femmes of all genders welcome!
Be seen. Be celebrated. Build Community."
SoOakland Collective,1,"Hello, I am Shayla Jamerson. Founder of SoOakland. A organization I started 2 years ago to change the perspective of how Black Oakland was viewed. I created events that are safe spaces for the Black and Brown community as well as the natives. As a native of Oakland its disheartening what is happening int he city as far as gentrification is concerned. I appreciate the face lift that is happening but I do not appreciate people not being able to feel like this is home anymore. Anyways my group allows us to come together, network, have fun, travel, party, find out what other dope things are happening in the Bay Area, join forces, appreciate each others value through brotherhood and sisterhood experiences. This group is about representing what REAL OAKLAND and REAL BAYAREA"
Talk About It at yOUR Library,1,"Your library is the place where we can talk about it. Let's explore social issues, literature, movies, comics, politics, food, sustainability, housing, humor, and government. We discuss issues and share experiences and thoughts in a respectful environment. Lifelong learners welcome!"
Queer Autistics Meetup,1,"Queer & Trans Autistics meetup in the works! This group centers qtpoc, people with multiple marginalities. Open to queer and trans Autistic people. We will meet up in an accessible sensory friendly location (tbd), and be in community space together. This group was collectively conceived out of activism and models of Disability Justice.
More info including access info to come."
Santa Clara Social Justice Writers,1,"I run a nationwide high school essay contest about homelessness, and I'm coordinating a collaborative book project inspired by some of the essay I've received. Proceeds from the sales of the book will be used to help fund future awareness projects or be donated to select homeless relief organizations.
Learn more about both projects at www.homelessaware.org.
I'm interested in meeting collaborators for the book project. We will critique one another's work, brainstorm topical ideas, and discuss other books, publishing, marketing, etc.
 
 "
LGBT People Considering Migration to Another Country,1,"Support and networking group now forming for LGBT persons in the Bay Area who are contemplating emigration to another country (e.g. Canada, a Western European country, Australia, New Zealand) for any reason, like the mercurial President Trump, the uncertain fate of both Obamacare and Social Security, excessive gun violence, or the absence of national laws which guarantee full equality for LGBTs. I am starting this group to get together with other LGBTs who may or may not have lost faith in America, but who would seriously like to seek greener pastures in other parts of the globe. We will exchange ideas, and support each other, as to how we might move elsewhere, if only for living with less of a threat from Islamic terrorists or from North Korea."
Serving the South Bay,1,We want to gather young adults in the South Bay who want to volunteer and make a difference in our community!
Oakland Self-Improvement Meetup,1,"Bi-Monthly Healing Circles for Europeans Who Have Become WhiteTo Face Into the Trauma of White SupremacyTo Heal It's Scars and Awaken Our Internal TruthsTo Align With Our Values and Deepen Our IntegrityTo End the Cycles of Internalized Superiority and Legacy of AmnesiaTo HealIn Connection, In Community"
Aware + Well : A Retreat With Intersectionality,1,"Circle up and discuss storytelling, and race & cultural conflict with a Black, Gay Woman from the South. Writer, conflict professional, and retreat leader, Lacey Wilson, invites you to take a deeper look at what we think we know regarding race and culture and in what ways can we expand ourselves to connect on a personal level, beyond the surface."
SURJ Bay Area Events,1,"Are you watching the news and feeling hopeless and angry about the murders of Black people by police? Are you upset about the Trump administration's attacks on immigrants, muslims, and poor communities of color? Come take the first steps to get involved in anti-racist organizing, or go deeper into the issues you care about, with a supportive and accountable community.
Through community organizing, mobilizing, and education, SURJ moves White people to act as part of a multi-racial majority for justice with passion and accountability. Anyone is welcome who shares that vision."
The Future of Volunteerism @ The Vault,1,"This group is for anyone interested in volunteering with nonprofits in their community. We'll be discussing volunteer interests and engagement preferences and exploring how technology can help facilitate increased volunteer participation. 
We would love your help to shape the future of volunteerism to increase community impact and enhance nonprofit mission delivery.
We're meeting at The Vault -- a gorgeous co-working space in the financial district. Light snacks and beverages will be provided.
To learn more about us, please visit our web site at 
We look forward to seeing you on the 26th!"
The Humanist Connection: Serving Silicon Valley,1,
Bountiful Churchyards: Places for the hungry to glean & grow,1,"This is a group for anyone interested in transforming churchyards and similar landscapes into welcoming places for those at risk of hunger, and everyone else as well, to grow or glean food for themselves and their families. This group is being organized by the staff of BountifulChurchyards.org. However, it is open to all, affiliated with BountifulChurchyards.org or not. It is also open to all regardless of anyone's particular faith or creed. It is our hope that we attract a lively mix of congregation-affiliated folk, with or without experience in foraging, urban farming, or the like, who can open doors, if you will, to development of churchyards into edible landscapes. We also hope to attract a lively mix of urban farmers, permiculturists, or other skilled folks, with or without any religious identification or participation, who can assist congregations with various aspects of project development. Finally, we hope to attract a lively mix of folks who can help bountifulchurchyards.org develop its website and outreach materials so that we can keep a steady stream of projects coming on line."
"Faith, Fun, and Social Justice",1,"A Meetup Group of various events associated with Unitarian Universalists and friends in the city of San Francisco.   We believe that faith is expressed through acts of social justice, and that social activism should be done in community and be fun.  We are dedicated to building the Beloved Community by celebrating diversity, recognizing the inherent worth of every person, and striving to ever widen the circles of inclusion. 
First Unitarian Universalist Society of San Francisco (www.uusf.org)
Faithful Fools Street Ministry (www.faithfulfools.org)
Church of the Fellowship of All Peoples (www.fellowshipsf.org) 
  "
Dana Cafe Meetup - Transformational Teachings Offered Freely,1,"Dana is the Pali word for generosity or giving freely. It is the inclination to give without expecting any form of repayment. 
Dana Cafe is a monthly gathering in Oakland California offering transformational teachings at no cost to participants.
Each month on 1st Sunday Dana Cafe invites different social change educators, teachers and facilitators from various arts and healing traditions to lead a session. Our monthly classes are offered for Dana (give as you able and inspired) and there is no set fee to attend.
Our workshops have included community theater, popular education, indigenous medicine, Tai Chi, Qigong, drumming & myth, herbal medicine, moon astrology, radical dance and other forms of deep somatic, ancestor, and community work to name a few. The intention is to cultivate generosity and a culture of giving while providing a space where all can access these teachings. As the teachings are given freely, so the community is encouraged to offer support for the teachings as is comfortable and as they are so inspired, creating a cycle of community supported sustained abundance.
Dana Cafe provides a space for us to strengthen a culture of ""gift economy"", where we can receive teachings and engage our lives more fully. It's our intention to be accessible to anyone and to openly collaborate with those in our community who have something to share. All are welcome. We look forward to seeing you!"
"Co-ops Work, Oakland!",1,"    A co-operative is a alternative way to do business. In a worker's co-operative, my personal favorite, all workers co-own and co-run the business. Many different management types can be employed, but ultimately it is the workers who control the decisions the business makes.     Want dignity at work and better control over your working environment? Do you want to start a worker owned co-op? Are you a small business owner that wants to see their business thrive as a worker-owned establishment? It's all possible with the right game plan. Let's talk about it!"
'Soul Food Reflections' Oakland,1,"'Soul Food Reflections' provides an opportunity to unite in respectful and elevated discussion, reflecting on inspiring themes and common threads that tie us all together.
There will be a monthly theme which will include prepared readings from faiths, philosophers, authors, leaders and indigenous cultures, from all over the world.
The purpose of 'Soul Food Reflections' is to reflect on these readings and have elevated discussions which inspire us to transform our lives, our neighborhoods and communities with the hope of generating actions that promote the unity and betterment of society.
'Soul Food Reflections' is free and open to everyone!"
Peninsula French Movies & More,1,"We are a group of movie fans united by our love of current -- and classic -- French films, and more. What's the ""more?"" Well, French Food, French Art -- whatever strikes our fancy. If you can't distinguish Mathieu Amalric from Mathieu Kassovitz, you're welcome! If you don't know the difference between the Nouvelle vague and Nouvelle cuisine, you're welcome! If you do know the differences, you're welcome! Whether you speak French fluently, a little, or not at all, you're welcome! All you need to join us is an interest and passion for French cinema and culture. 
Our base of operations will be the mid-Peninsula, taking advantage of the local Landmark and CineArts theaters, and extending to San Francisco and other Bay Area venues, when the programming is appropriate. Our goal is to see these movies as they were meant to be seen: On the big screen, with other fans! 
Our ""More"" activities may include visits to: local museums, farmers' markets, cooking schools, and other locations we haven't thought of, yet! This area is rich with French resources, and we want to explore them, together. 
NO-SHOW POLICY
After three no-shows, you will be removed from the group. This is to ensure fairness and quality of events. Many events have limited attendance; if you sign up but don't show, you are taking the place of someone who would have been happy to come instead. Changing your RSVP is a simple matter of courtesy and good manners and takes just a minute or two of your time. Please consider others who would very much like to attend events but never make it off the waiting list.
Kind regards,Fabrice"
Bay Area Seniors Rock!,1,"Would you like to meet others of about your age who might have the same memories, associations, and interests?
Join our group of active adults looking to share adventures, make new friends, and have new conversations. We're interested in a lot of things, from hikes and bocce ball, to theater, museums and musical events of all sorts, from simple walks in the park, to home pot lucks and game nights.
To join, 2 things to know:
1) we REQUIRE A PHOTO of YOU so we can recognize you at events. BE SURE to post a recent PHOTO.
2 We also ask for $15/yr mandatory dues, which pay for our Meetup expenses. You'll have 30 days to make this payment, once approved, and can make it from our home page. 
P.S. You can also organize a gathering according to your own interests. This group is a social collective or club of clubs. No one person sets the agenda for the group. Any member can lead an activity- simply contact one of the Organizers on our home page advising of your event. Someone will get back to you shortly."
20's to 30's SOUTH BAY GROUP,1,"Movies, Restaurants, Bars ... you don't always need to go far to have fun! This group is for easy-going and fun young people willing to hang out anywhere close to Downtown Campbell/San Jose/Los Gatos. We plan events in other parts of the bay area as well.
If you want to meet awesome people, make new friends and share a nice evening, this group is for you !!!
P.S. - Please have a clear picture of your face on your profile. It helps us recognize you."
Adventures in History and Culture,1,"Welcome history and culture enthusiasts! Let's go explore the Bay Area's cultural treasures around us! We visit archaeological sites, museum exhibits, participate in discussions, go to historical reenactments, attend plays and operas, explore old parts of cities, visit fairs and festivals, learn skills at workshops, go on tours, enjoy movies, and more!    Everyone is welcome: families with kids, students, scholars, seniors, singles, LGBTQ, all ethnicities, people with all ranges of physical capabilities, all religious backgrounds, and those ranging from the aspiring Indiana Jones to people just rekindling their interest in history and culture.     In addition to exploring new places each month, we also have our own bookclub: (we currently need a new host for this, so please let me know if you'd be interested!)

Meeting every 6-8 weeks, we choose our own book from any genre that is related to that meeting's topic.  For example, one topic we had was the US Civil War, where people chose books covering culturally-based war tactics, Lincoln's funeral train, articles from that time, and fiction.  By having a topic that we base a variety of books choices on, we are able to have a more holistic discussion from interdisciplinary perspectives.  
We start out by everyone introducing themselves and their book with a brief description of what it was about, an interesting fact, and how they felt about it (30 seconds to two minutes each).  Then we open up to a naturally flowing discussion.  It is okay to also just sit and listen the whole time!
""Book"" is used loosely to describe a possibility of many medias: songs, films, scripts, anthologies, short stories, newspaper and journal articles, magazines, and art.
Our monthly Cuisine and Convo event:
Each month, we choose a cultural place in the world (i.e. not strictly geographical) and then find a group-friendly, highly-rated restaurant featuring traditional foods from that country. Similar to the book club, we chat about that culture in an interdisciplinary manner drawing from our own experiences of travel, books or movies, college classes, crafts, scanning trivia online, to...well, anything at all as long as it relates.
You can bring books, pictures, artifacts, or just yourself.  If you don't get a chance to look up something about that culture, you can always bring up a ""top 10"" trivia on your phone about the culture/location.  After we finish our brief show-and-tell/sharing, we open up to casual conversation about the culture or whatever topic morphs from that.
Occasionally we will host this with a concurrent cultural festival like combining the topic of Germany with an Oktoberfest celebration or Greece with a trip to the Greek Festival.
Please bring cash in case we can't split the check.  You only pay for what you ordered, but tax and tip will be divided evenly by the number of people present regardless of what you ordered.

If you can't make an event, you can still interact with us online on our group's social media:

Facebook:  Pinterest:   or #AdventuresInHistoryAndCulture

We hope to join us for our next adventure!   "
SF Art Adventures,1,"This group is for art adventurers! If your interest is in supporting locally-made fine art and you like to discover it in new, non-traditional and unique venues then this is the group for you. We'll meet to talk, listen, view and, yes, even acquire local art. All you need is interest and passion about art to get involved and the desire to get to know other like-minded people."
Palo Alto Monthly Tea Times and Art Tours for 50+ Women,1,"This is a group for friendly 50+ years old women who seek like minded friends to relax, unwind, share our stories over a pot of delicious tea, scones, and mini sandwiches at a very nice quiet tea shop near the Aquarius Theatre. Occasionally we will go on art tours at Cantor Museums to see the new exhibitions. Movie outings or train trips to visit San Francisco can be included in the future if we want to. This is a group for all of us to enjoy and grow and expand."
City Explorer (tm) San Francisco Walking Tours,1,City Explorer is an app of walking tours of San Francisco downloadable to your smart phone or tablet.  Members of this group are invited on sample tours where we try out new additions to the app. Check out the City Explorer San Francisco app on iTunes or Google Play.  
Bay Area Multicultural Group,1,"Welcome to our multicultural group! 
This group is for anyone interested in experiencing different cultures and religions, building new relationships, exchanging and exploring new traditions, languages, and music. Or just for enjoying traditional food and activities in a friendly environment hosted by non-profit cultural organizations in the East Bay. 
Looking forward to meeting you!
 "
Accents are Sexy - San Francisco,1,"When cultures meet, something beautiful happens. This groups is about embracing diversity, enjoying and differences and exchanging on all levels. In short, meetup great, fun and interesting people from around the world!
Behind every accent there is a story. "
Japanese + English @ SCVJCC,1,"Events organized for range of things Japanese and English...ESL, Culture, Food, Community, Religious and more.."
Art Collecting! Learning About & Looking at Contemporary Art,1,"Love art and thought about collecting - but not sure where to start? Or maybe you are already collecting and looking to meet others who share your passion? Or simply interested in exploring the right side of your brain by exploring and enjoying art on a more regular basis?  You've found us! Our meetups will include private visits and tours of Bay Area galleries, artist studios, arts organizations, museums and other art-related venues.  These events will feature guest speakers from these organizations who will help us understand their organizations history and position in the Bay Area and global art world, who will share more about the business of the art world, and who will share the energy and struggles of the Bay Area art market.  We'll also occasionally attend arts events open to the public.  We frequently meet after the events for drinks or food and to chat about art and related topics.
"
Marin Senior Women's Social Group,1,"HELLO,
THANK YOU FOR YOUR INTEREST IN OUR GROUP.   WE ARE NOW AT OUR 50 MEMBER LIMIT AND ARE NOT ACCEPTING NEW MEMBERS.
CHRISTINA, ORGANIZER
 
 "
Understanding Modern and Contemporary Art,1,"This is a group for anyone interested in learning more about Modern and Contemporary Art. We will organize art history lectures, visits to museums and galleries, and other fun events in San Francisco and the Bay Area!"
South Bay Theater Meetup,1,"This is a group for anyone who loves live theater and the performing arts, particularly in small venues in the South Bay. We are so lucky to live in an area that supports so many quality rep groups where we can enjoy dramatic plays, musicals, comedies, Shakespeare -- at pretty reasonable prices.
Focusing on South Bay theaters in San Jose and surrounds, as far east as Fremont and as far north as Mountain View/Palo Alto. All appropriate ages welcome, depending on the play."
Cuisine Noir Magazine,1,"This group is perfect for anyone with a variety of interests around food, wine, beer, small business, cooking and more. It is a great way to meet new people over a cold beer, glass of wine and most importantly good food.
Cuisine Noir Magazine is the country's first food, wine and travel magazine that loves to hosts as well as support a variety of events. As a member, you'll be the first to know and also receive discounts to join us!
Cheers!
Sheree"
San Francisco Stand-Up Comedy Lovers,1,"People who love stand up comedy, Love going to local comedy Shows and having fun time."
L'Alliance des Saveurs : Francophone Dinner Nights,1,""" L'ALLIANCE DES SAVEURS "" Come and join us every last Wednesday of each month in a different restaurant and treat yourself to some Francophone Specialities and a fun cultural evening ! For this first Wednesday, RDV at Bissap Baobab, a good Senegalese Restaurant in the Mission.. For $25, you will choose : - An appetizer (bananes plantains, salad or Baobab prawns) - A main dish (rice and chicken with mafe or yassa) - A ""house cocktail"" with or without alcohol.
What would you think about trying food from different French-speaking countries every month ? Come and join us every last Wednesday of each month in a different restaurant and treat yourself to some Francophone Specialities and a fun cultural evening ! The price will include the choice between two dishes and you will pay directly at the restaurant !
- RESERVATIONS REQUIRED -"
Napa Gay Meetup,1,"This is a group for LGTBQ people in the Napa area who would like to meet up and interact in events in the Napa Valley. Possible events might include: a gentle hike on one of the local trails followed by a picnic lunch, a scheduled wine tasting at a local winery, a bowling night, a bbq, or a networking event for small business owners. Since it would be a new group--the possibilities are unlimited. Ideally, a group that is founded in fun and social interaction with other LGTBQ individuals in the Napa Valley."
Supergirls SF,1,"Community for curious, active, open women, interested in health and wellness:)
Mission - motivate women to take care of themselves and find a life outside of work.
 
 "
African Community,1,"Sometimes is nice to connect and feel the support of your roots ""Mother Africa."" We can make it what ever we would like it to be. As for me, I would like to eat some african food, learn new cultures, enjoy some african music, discuss politics, organize fund raisers that donate to communities back home. Its about time we have a community in the bay."
Sacramento Cultural Exchange,1,People getting together to share knowledge (and most importantly food) about various cultures from around the world. Diversity is very welcome!
Richmond Art Center Meetup,1,"Calling artists, art enthusiasts, and locals! Let's get together for activities, classes, and workshops at the Richmond Art Center, like seasonal exhibition receptions, free community events, artists talks and presentations, and other special gatherings. Our studios offer classes and workshops in painting, drawing, textile arts and weaving, ceramics, metals and sculpture, and youth classes. We can't wait to meet you!"
Sacramento Cultural Activities Meetup,1,"Shakespeare -- Several members of the History of Philosophy Study Group have started watching DVDs of great productions of Shakespeare plays. We are open to sharing this experience with others. Hamlet, Lear, Richard II, Henry IV, Othello, Macbeth, etc. Amazing performances with subtitles to help make it easy to follow for the uninitiated. This has been and exciting and revealing adventure. There are reasons Shakespeare's reputation is deserved."
