,meetup_0_description
52,"

New Revolution Now 
  Patriot Brigade is made up of conservative grassroots activists who are furthering 
  
 and values it advocates for and assisting in general operations.
  
 Thank you for your interest.  Please forward areas of interests and strengths. We screen all applicants. So, please include your phone number, street and email address.
  

Texas Patriot Brigade volunteers assist in the following areas:




* Watchdogs
    
* State & National Delegates / Citizen Advocates
    
* Active and Passive Lobbiests
    
* Area liaisons / coordinators
    
* Assistant initiative coordinators / directors
    
* Fund raisers / Campaign assistants
    
* Assistant event coordinators / assistants
    
* Video / Audio assistants
    
* Writers / Bloggers / Internet gurus
    
* Speakers / Trainers
    
* Researchers / Programmers
    
* General assistance




We look forward to working with you!

"
53,"We are women between the ages of 25-125 who are liberals and proud of it. We enjoy conversations with like-minded women in a safe environment about topics of interest to the group, and we like to have lunch together and do other fun activities. We hope you'll join us for some interesting discussions and fun times. (PLEASE NOTE: This group is for true liberals--both socially and fiscally. Fiscal liberals do not believe in balancing the budget on the backs of the poor and middle class or in giving tax cuts to the wealthy at the expense of the nation.)"
55,"""WYRE""...you'll hear this term a lot. It is an acronym for the #1 Divorce Recovery book and seminar world-wide called ""Rebuilding: When Your Relationship Ends""
I have referred hundreds of people to  the ""WYRE"" seminar over the years. If you are going through, or considering a break-up of any kind (divorce, separation, abandonment, life changes), this is the very best investment in your life at this moment. You will leave feeling more balanced, less traumatized, and hopeful in a far shorter time than if you 
Held once a week in private homes, this 10 week workshop is a series of supportive, constructive and forward-moving classes, with the book acting as our template.  These seminars and the tools and methods it uses boasts over 1,000,000 people helped.  You will follow a proven step-by-step process for putting one’s life back together. The “Rebuilding” model makes the process faster, healthier and less traumatic for those who are suffering.  You will leave feeling stronger, empowered, and with new friends from your recovery group.    
For information, fees and registration, go to  "
56,"Meet up for exuberant grassroots politicking!  Promote awareness of Ron Paul's 2012 Presidential Campaign!  We aim to grow the largest, most active Ron Paul for President Meetup in the nation!  Jump right in!  Bring your friends!

 "
57,"Hey I'm Joe. Are you one of those people who loves watching politics and the news and can't seem to find a group of people that are just that into it? Well this meet up is it. 
My intention for this meet up is to focus on current events in the news and allow for conservative, independent and liberal view points on the issue. 
So here is the setup. We will try to meet twice a month to discuss a topic. A meeting on current events and than another that goes into more detail on a topic. That last one is in the format of a debate or discussion. Most of the topics will cover national and global politics. I will try to make the topic or question as non-partisan as I possible, giving the pros and cons on certain ideas proposed. I want to set up about 5 minutes giving the frame of the issue and than let everyone go into a lively discussion where I hope we can all hear everybody's point of view. There is no right or wrong answer so feel free to share your thoughts openly. 
There will be a meeting that happens once every 2 months that will be more of a social but jeez we are going to talk about politics for sure! Another outlet newly introduced by our friend will be twitter which now you can access to discuss and debate ideas and the impact of current events.  There is a link below and the handle here in is twitter.com/AustinPoliChat. I have just one rule in the group and that is even if you disagree with someone else's viewpoint that you remain respectful. So join up with some political junkies!"
58,"Meet others in your local area interested in constitutions, U.S., state, or others, and how to understand and use them."
61,"Are you Interested in freedom, limited government, fiscal conservatism, free enterprise and National Defense, then join our local Austin meetup group! We are an official auxiliary of the Texas Republican Party. Everyone is welcome to attend our meeting and learn what we stand for. We have a focus on the local Asian community, but our membership is open to all. We bring in local leaders and candidates to talk about what they are doing in government. We welcome everyone!"
64,"Greetings from the largest and most active Voluntaryist meetup in the world!
This meetup is a space for voluntaryists in the Austin area, or anyone that wants to learn more to connect in person!
So what is Voluntaryism? Voluntaryism is an ethical philosophy based on the simple idea that all human relationships should be voluntary, and that force is neither an acceptable nor consistent way to solve problems.  This applies no matter how shiny your badge, how official your title, or how powdered your wig.
As simple as it seems, this idea is pretty radical.  There are some elaborate and subtle ways that people can use force to manipulate and control others, and it pervades just about every aspect of our lives.  This can be very taxing (pun totally intended).  What's worse, trying to talk about this stuff with others can be volatile, and can leave you intellectually and emotionally drained.
Fortunately, the internet is here to help us find each other!  So come out from behind the keyboard to meet other open minded people, and let's build a community of support, friendship and connection!  Like an oasis to a thirsty, solitary wanderer, this meetup is here to foster an in-person, interpersonal community, and provide a space for openness, curiosity and a voluntary exchange of ideas.
If you are new to all of this, that is great too!  Curiosity and healthy debate are always welcome, as long as you leave any toxic hostility at home.  We are not here to tear each other down, but rather to learn from each other, connect, and grow in our understanding of what it is to be free!
See you at our next meetup!"
65,"EFF-Austin advocates establishment and protection of digital rights and defense of the wealth of digital information, innovation, and technology. We promote the right of all citizens to communicate and share information without unreasonable constraint. We also advocate the fundamental right to explore, tinker, create, and innovate along the frontier of emerging technologies."
69,"Think you're the only liberal within 1,000 miles of here? Good news! You aren't! We may be few, but we are mighty women, and we love to have fun, eat good food, drink nice wine and talk politics from our lefty perspective. Come join the fun!"
71,"""You may say that I'm a dreamer, but I'm not the only one.""  But I don't know...sometimes it feels like I'm the only one!  This is a meetup group for Blues (and purples) living in a Red state wanting to meet other like minded folks.  With the 2016 election coming up, it will be great to have like-minded folks to watch the debates with and help organize."
80,"This is a group for liberals interested in socializing over drinks and eats. This group is not specifically about politics, but rather creating another little speck of ""blue"" in an otherwise ""red"" state. We will meet at various locales around the Midland-Odessa area to hang out, talk politics (or not), and enjoy the company."
82,"Permian Basin Young Democrats is a local political organization designed for those ages 14-40, but all are welcome! We meet throughout the Permian Basin, with a focus on Midland and Odessa.We discuss politics, campaign for local and statewide candidates, host guest speakers on issues important to our members, and advocate for change in Texas politics. Check us out on Facebook or Twitter, and join us for a meeting or social! We can't wait to meet you."
86,"This group is dedicated to spreading the message of freedom, prosperity and peace throughout El Paso, Texas, so that we can have an impact on national and local politics. We will meet to effectively organize and execute a campaign that attracts people of all ages, genders, races, religions, political affiliations and professions as we unify Americans around the most relevant issues threatening our nation today. Join us in this noble effort to preserve America as a free, sovereign Republic characterized by small government, sound money and free markets, where creative innovation and hard work are rewarded and people keep the fruits of their labor to give those in need as they see fit rather than as a tyrannical big government dictates. The members of this Meetup group are undisputed champions of the Constitution, which limits the size and scope of government. Let's remind government who they work for, the people."
113,"At Green Party Meetups we will discuss current events and issues ranging from the local to the worldwide. We all come with an understanding that we must be the change and discuss ways to get involved in our communities to improve the world in which we live. 
You don't have to be a registered Green to attend. If you find yourself on this page because you are seeking an alternative to the corporate run two party system, the Greens might be just the party for you!
The Ten Key Values of the Green Party.   
1. GRASSROOTS DEMOCRACY  
Every human being deserves a say in the decisions that affect their lives and not be subject to the will of another. Therefore, we will work to increase public participation at every level of government and to ensure that our public representatives are fully accountable to the people who elect them. We will also work to create new types of political organizations which expand the process of participatory democracy by directly including citizens in the decision-making process.
2. SOCIAL JUSTICE AND EQUAL OPPORTUNITY  All persons should have the rights and opportunity to benefit equally from the resources afforded us by society and the environment. We must consciously confront in ourselves, our organizations, and society at large, barriers such as racism and class oppression, sexism and homophobia, ageism and disability, which act to deny fair treatment and equal justice under the law.
3. ECOLOGICAL WISDOM  Human societies must operate with the understanding that we are part of nature, not separate from nature. We must maintain an ecological balance and live within the ecological and resource limits of our communities and our planet. We support a sustainable society which utilizes resources in such a way that future generations will benefit and not suffer from the practices of our generation. To this end we must practice agriculture which replenishes the soil; move to an energy efficient economy; and live in ways that respect the integrity of natural systems.
4. NON-VIOLENCE  It is essential that we develop effective alternatives to society's current patterns of violence. We will work to demilitarize, and eliminate weapons of mass destruction, without being naive about the intentions of other governments. We recognize the need for self-defense and the defense of others who are in helpless situations. We promote non-violent methods to oppose practices and policies with which we disagree, and will guide our actions toward lasting personal, community and global peace.
5. DECENTRALIZATION  Centralization of wealth and power contributes to social and economic injustice, environmental destruction, and militarization. Therefore, we support a restructuring of social, political and economic institutions away from a system which is controlled by and mostly benefits the powerful few, to a democratic, less bureaucratic system. Decision-making should, as much as possible, remain at the individual and local level, while assuring that civil rights are protected for all citizens.
6. COMMUNITY-BASED ECONOMICS AND ECONOMIC JUSTICE  We recognize it is essential to create a vibrant and sustainable economic system, one that can create jobs and provide a decent standard of living for all people while maintaining a healthy ecological balance. A successful economic system will offer meaningful work with dignity, while paying a ""living wage"" which reflects the real value of a person's work.
Local communities must look to economic development that assures protection of the environment and workers' rights; broad citizen participation in planning; and enhancement of our ""quality of life."" We support independently owned and operated companies which are socially responsible, as well as co-operatives and public enterprises that distribute resources and control to more people through democratic participation.
7. FEMINISM AND GENDER EQUITY  We have inherited a social system based on male domination of politics and economics. We call for the replacement of the cultural ethics of domination and control with more cooperative ways of interacting that respect differences of opinion and gender. Human values such as equity between the sexes, interpersonal responsibility, and honesty must be developed with moral conscience. We should remember that the process that determines our decisions and actions is just as important as achieving the outcome we want.
8. RESPECT FOR DIVERSITY  We believe it is important to value cultural, ethnic, racial, sexual, religious and spiritual diversity, and to promote the development of respectful relationships across these lines.
We believe that the many diverse elements of society should be reflected in our organizations and decision-making bodies, and we support the leadership of people who have been traditionally closed out of leadership roles. We acknowledge and encourage respect for other life forms than our own and the preservation of biodiversity.
9. PERSONAL AND GLOBAL RESPONSIBILITY  We encourage individuals to act to improve their personal well-being and, at the same time, to enhance ecological balance and social harmony. We seek to join with people and organizations around the world to foster peace, economic justice, and the health of the planet.
10. FUTURE FOCUS AND SUSTAINABILITY  Our actions and policies should be motivated by long-term goals. We seek to protect valuable natural resources, safely disposing of or ""unmaking"" all waste we create, while developing a sustainable economics that does not depend on continual expansion for survival. We must counterbalance the drive for short-term profits by assuring that economic development, new technologies, and fiscal policies are responsible to future generations who will inherit the results of our actions."
123,"We are the Adams County Libertarian Party. 
We are looking for people who are liberty-minded, to join us as we discuss the Libertarian ideals, politics and Party, and organize to take back our county.
Who are the Libertarians? 
Well, today it seems that we are everyone who is not on the extreme Left or Right. In general, Libertarians are centrists. We tend to be socially Liberal, and fiscally Conservative. 
We are for smaller government. That means the American people taking care of themselves, not expecting the government to do it for them. 
We don't care if you get an abortion, that's none of our business, we just don't want our taxes to pay for it. We believe the Free Market, if removed from government ""help"", will find a solution, that is far more suitable, and less expensive, than anything government could come up with.
We are your Adams County Libertarian Party.
Please join us, and help restore Freedom and Liberty to our County."
127,"Find your people in Douglas County! We're a local chapter of a national organization that brings together fun, feisty progressives for great discussion and laughs while having a few drinks - - casual, open to all, free-form and always a good time. Don't you want to be Drinking Liberally right about now?"
128,"LPA of Denver/Colorado is an organizing task force that seeks to bring progressive values into the liberal view. We do not support moderate centrism and 'progressive in name only' ideals, though we welcome all to share their experiences and learn more about progressive politics, civic education, and egalitarian social progress. We support patriotism over nationalism and human and civil rights over the mythology of a meritocracy.  The group generally meets twice a month for civic education, rigorous academic debate, political discussion, and have local candidates and guest speakers come to present to our group. We also gather to work on campaigns, causes and/or political events. Please join us and get active!  Please post current events related to local Colorado politics, and the progressive agenda. Remember to always be courteous, respectful, and open-minded to all points of view, including moderate Democrats and conservative or radical Republicans.  There's no need to raise your voice; improve your argument! 
This group was formerly known as Liberal Boomers, but has been opened to the broader audience of all generations.  Among our goals we strive to bridge the generational gap on politics. 
Our values: * Solidarity -- Team-oriented inclusion and validation, synergy and security. * Leadership -- Under the subtext of wisdom, respect, honesty, and community involvement. * Aspirations -- Goals, objectives, purposes to achieve progressive aims. * Education -- Teaching on national, state, and local civic, bringing new evidence to the forefront. * Solutions -- Many of us are seeking answers to our most complex problems. 
1. What methods of government would you like to see implemented? 2. What human and civil rights are important to you? 3. What values and principles do you consider important in a civil society? 4. What definitions and terms matter in our civic discourse? How do you define them? 5. How do you consider the above five terms? Do they adequately summarize your intentions with coming to these meetups? Would you modify them in any way?"
131,"There is ONE thing all the entire political spectrum can agree on -- the incentives that are built into government are *wrong*.  Our proposal is called Cap-and-Prioritize and it combines the limits the political right wants with the ""priority transparency"" the political left needs.  The result is a fiscally conservative / socially progressive vision of government.  Join us for our monthly meetings and help change America and help inspire the world."
134,"The Libertarian Party of Colorado welcomes all liberty minded Americans to join the ground-swell of activism focused on preserving our freedoms. Our calendar is packed with events, from weekly lunches and happy hours, enveloping stuffing parties, protests at the capital, expert speakers, manning booths at the People's Fair or Taste of Colorado, to debates and candidate forums. Libertarians are passionate about their 'More Liberty-Less Government' philosophy, and our calendar reflects their commitment.  Join the movement, make a difference!"
135,"Looking for Drinkers (coffee, alcohol, soft, or whatever) who enjoy discussing politics. We meet on the third Friday of every month at The Rock Wood-Fired Pizza & Spirits!"
138,"Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.
We are a community group working towards equality, sustainability, and social and economic justice for all thru education, instruction, action and individual empowerment. We ""resist"" the dehumanizing of people. 
WHAT YOU CAN DO  - Join this group now  - Attend the Group Meetings   - Volunteer to help
OUR COMMUNITY GUIDELINES  - Be Peaceful  - Be Safe  - Be Kind  - Be Respectful  - Be Real"
142,"About Us
The International Socialist Organization (ISO) is committed to building an organization that participates in the struggles for justice and liberation today and, ultimately, for a future socialist society.
The ISO has branches across the country whose members are involved in helping to build a number of struggles: the fights against racism and the new Jim Crow, the struggle against anti-immigrant scapegoating, the fight for women’s rights like the right to choose abortion, opposing anti-gay bigotry, and standing up for workers’ rights.
In Denver, our members are involved in the fight against racist police brutality, raising the minimum wage, environmental justice struggles, solidarity with Palestine, and more. We are committed to building a left alternative to a world of war, racism and poverty.
Please feel welcome to contact us at isodenver@gmail.com should you have any questions or concerns—or, alternatively, feel welcome to contact our Meetup Organizers.Like us on Facebook:facebook.com/denversocialists
Find the ISO online at:  internationalsocialist.org  socialistworker.org  wearemany.org"
144,"Remember the time when we political Progressives couldn't talk about W in public without whispering and looking over our shoulders? Those times might be gone, but we still might be cautious about who we're with when we talk about our political leanings at all.
This is a group for political Liberals over 50 who will meet in small groups, share a meal and conversation, and know that everyone around us are liberals with progressive tendencies -- and we may not even talk politics all night! We don't believe in long banquet tables and loud rooms. We'll have separate checks, and you'll have a chance to really speak to people that you might even want to meet with after the event.
Leave your weapons at home. Yes, we know it's a free country, but do it anyway. If that's an issue to you, don't join the group.
If you are interested in joining our fun group, you'll need to read and agree to our group's guidelines -- which we call ""Our Party Platform."" You can only access these guidelines from the desktop site of our group on Meetup, and not from the mobile site. Apps like ""Meetup"" and ""Socializer"" don't provide access to these files.
Item last! During a member's first 30 days, they may join us for an event, and after 30 days, in order to RSVP to our events, dues must be paid for the RSVP button to function. If no Meetup is available or all events are full, an exemption will be granted until the next available Meetup. NOTE: this applies to our our ""secret"" Facebook presence as well. Dues paid directly by check or cash ARE NOT subject to WE PAY's $1.03 fee they take out of the $7.00. In other words, please make arrangements to pay the dues directly if you can! "
147,"This North Denver meetup group is designed to empower and support you in taking action to promote solutions to climate change. This meetup represents a powerful community of climate change activists that believes solutions are found advocating with members of Congress through letter-writing, lobbying, gathering endorsements, and spreading the word on climate change. Monthly meetings combine activities, education and letter writing. 
Our movement is for people who believe the time for action on climate change is now and that this action is best expressed in building political will for a livable world through exercising our personal and political power. As a non-partisan organization, Citizens’ Climate Lobby (CCL) lobbies for Congressional action to pass a revenue-neutral carbon fee and dividend proposal. We train and support volunteers to engage elected officials, the media and the public. More information is at citizensclimatelobby.org and Please write us if you have any questions! Thank you for visiting."
150,"The purpose of this group is to support and facilitate a Texan community; to help us feel a little more 'at home' away from home.  People who seek a happy, healthy group of fun people to hang out with should join us. You don't have to be from Texas, but you should definitely NOT hate us!"
152,"This is a re-evolutionary group. We are re-evolving ourselves and our society so that we can meet, at the intersection of politics and spirituality and stand in our power as humans having a spiritual existence in society. We will explore our spirituality as a basis to engage in politics and political discourse from a place of love and acceptance.  From this space, we will empower and support one another to identify and work to bring about change in the political system and our election process.   
Let's eliminate the hatred in our hearts and free ourselves to practice positive denial.  We believe in what we value and we value an educated, empowered, awakened and united electorate.  ""The peace of God which passeth (human) understanding"" and ""this peace is totally incapable of being shaken by human errors of any kind.  It denies the ability of anything which is not of God to affect you in any way.""  Course in Miracles goes onto say, ""This is the proper use of denial.  It is not used to hide anything but to correct error.  It brings all error into the light, and since error and darkness are the same, it corrects it automatically.""
This is the basis from which we will understand what we discern needs to be corrected and work together to bring awakened policies to our local, state and federal governments.  "
154,"This group is to explore election methods to see which would achieve better results or better group satisfaction. 
Election methods covered will include ranking, approval voting, score voting, and our current system, plurality."
155,"We have invited: members of the Denver City Council, the state senators, the state representatives, and other political organizations within Dener to attend this event. We want to have an open dialogue with many different voices within the community!
This meeting is for Denver Millennials who are passionate about politics. We are a non-partisan action coalition. This, our first meeting, has a sole purpose of seeing who else in Denver also wants politics in the United States to improve!
Does every election feel like the same BS where two people promise a bunch but nothing changes?
Do you want to do work that impacts the community without having to commit to 10 hours or 20 hours per month?
Do you believe, at the bottom of your heart, that perhaps in the generation of Millennials we could see another awesome transformation of govermnent like America saw during the Women's Rights Movement and Civil Rights Movement? America is only getting larger and there are plenty of people passionate about making her better. We, the Denver Millennial Political Action Coalition believe that we can construct better communities in Denver and then scale out to different cities across the United States to help Millennials be a dominant voice in politics.
If we wait until 2047 or 2067 to have the Millennial voice heard, we will have waited too long. For this reason we must start acting now to see what kind of positive impact we can make in politics today (not 2047)!
If you have a friend who is passionate about politics than bring them on down for this short introductory meeting!"
156,"Africa Agenda (africaagenda.org)events offer a unique opportunity to interact with African opinion leaders and communities in Colorado and to discover the opportunities Africa has to offer. Africa Agenda seeks to move beyond the normalized misinformation on Africa to open up new avenues to engage, build bridges and deepen ties between the US and Africa."
158,"Republicans are reaching out to you to Make Colorado Red Again. 
The Denver Republican Party Meetup brings Republican candidates in Denver, to all voters, regardless of their voter registration. 
The Meetup focuses on the Denver GOP county-wide events.  A more complete calendar of Denver County GOP events is on its website.  "
161,"Want to connect with fellow conservative adults that share similar values. We specialize in personal and social networking and new friendships while discussing opinions on what's happening in our community, state, and country.
Our gatherings are held at local restaurants after work with an eye on thoughtful discussion on current events. Events will usually include a guest speaker.
Come and see what we are all about and help make a difference locally and in Colorado. Invite fellow conservatives who have not yet gotten politically involved.
Area includes Metro Denver and surrounding suburbs.
Details of meetings available only to current members posting a current photograph."
165,"Hello everyone!  We are an awesome group of feminists from all different backgrounds who get together every month and discuss various feminist issues in a supportive and respectful environment.  We spend some meetups discussing the current book, and we are interested in community outreach and activism so please come and share your ideas and what's going on in the world of feminism.  We want Denver to know that we feminists are alive and well!  If you are a feminist and are looking for an outlet to express and share your views, please join us at our meetups.  All are welcome in the group.  This is not just for women, but for anyone who is passionate about feminism and/or is willing to learn more.  Men who want to be a part of the group are welcome, and expected to have a basic knowledge of feminist theory and be wanting to contribute to our discussion and cause.   We currently meet on the 4th Tuesday of every month.   Come join us!"
174,"Liberty on the Rocks is a non-profit libertarian organization that empowers and assists liberty enthusiasts in becoming better connected, informed, and involved.
Through local chapters and events, activists throughout the country can increase the size of their networks, enhance their understanding of economics and the philosophy of freedom, widen their knowledge of local and national educational outlets, and increase their opportunities for involvement.
 
 "
177,"Our political system is at a crossroads. Our two parties are producing zero results for the American people, as they are more focused on running to the extremes to win elections than coming to center to solve problems. Unite America aims to reshape and reform our political system – not as a traditional third party, but as America’s first Unparty. We are organizing a grassroots movement of Americans –– Democrats, Republicans, and independents –– who feel left behind by both parties and who want our leaders to work together to get things done. Join us to chat about politics, make some friends, and learn how you can make an impact!
For more information visit: www.uniteamerica.org "
178,"If you are interested in community and governmental issues, come to one of our Community Conversations, Drinks & Dialog, or Issue Forums. We discuss current issues and present information you need to make decisions as informed citizens. The League of Women Voters of Boulder County, a nonpartisan, political organization, encourages informed and active participation in government and influences public policy through education and advocacy. The League does not support or oppose candidates, factions, or political parties."
181,Like-minded progressives skeptical of corporate politics and corporate media
183,"We are the Boulder Rand Paul group.
We live in Boulder, and we care about personal liberty and the direction of our Union.
We believe the Constitution needs to regain its rightful place in Washington.
Come and join our fun, yes FUN, group, as we work hard to restore our nation."
