name,class,description
North Bay Sailing Meetup Group,1,"It's easy to make sailing friends here!  We are the original sailing Meetup group in the Bay Area, and the largest and most active.  We try to offer inexpensive sailing opportunities for everyone.   All of our events are free, unlike other groups, which exist to charge people to sail.  The only time we charge people is when the event is a charter-share and everyone ""chips in"" on the cost to charter the boat.  We don't believe in using the Meetup platform to run a business.
You don't have to know how to sail to be part of the group.  People with boats usually always welcome guests aboard to help pull ropes and turn cranks and pass out beer.  That is called ""crewing"".
The purpose of this meetup group is to promote and share the passions of sailing. Anyone interested in sailing may join. The variety of scheduled events can help build up your sailing social circle, which is one of the keys to more sailing. Educational, social, and actual sailing events will be fun and allow members to meet each other.
Here is a great little example of some fast sailing and what one of our events is like: 
If you no-show to an actual sailing event, or prevent others from sailing if you change your RSVP to no within 48 hours of a sailing event, you could be removed from the group..
Please update your RSVP in time so the boat owners and captains can plan accordingly. This is a little courtesy to your fellow meetup members to make planning easier and not waste limited seats on a boat."
San Francisco Art Forum,1,"SAN FRANCISCO ART FORUM


For artist representation, publicity, speaking or sponsorship opportunities and media relations > contact us. 
, a 501c3 non-profit corporation."
BAY AREA LATIN MUSIC,1,"About BAY AREA LATIN MUSIC""What?""

- ¡VIVA MI GENTE!
BAY AREA LATIN MUSIC  provides ways to track down the specific classes, DJ nights and live music nights you're interested in. Just check with us periodically to find different events and/or meetups or the venues that play a lot of bachata... or a mambo ""on 2"" class. 
""Where?""
From all over the bay area, of course. The city by the bay La Salsa Vive 
""When?""
We started with this site back in 2007, and in 2010 we had a boom! Since then, the scene has steadily expanded, with many new venues and studios. The old directory became difficult to use and lacked the capacity to incorporate studio classes and special events. In April 2011, I created BAY AREA LATIN MUSIC to better meet these needs. 
""Why?""
Because I love to dance salsa... and so do you. In short all tropical and regional music will be featured here.
""Where do I send my updates?""
Send your updates to rig@vivamigente.net 
""Can I purchase advertising for my club/studio/salsa CD/etc. on BAY AREA LATIN MUSIC ?""
Definitely. Drop me a line rig@vivamigente.net to discuss it. 
""What's next for BAY AREA LATIN MUSIC ?""
Many more features are planned... but that would be telling, wouldn't it. 
""Who's in charge here?""
DJ Jazzy Jezz is the main man who is a dedicated social dancer and salsa fanatic, dj, promoter…baby sitter…etc. 
He lives in FRISCO, drinks entirely too much has all the smart moves.
Acknowledgements
Many thanks to all the salseros, who kept ‘SOUTH BAY SALSA’, alive for the past years, and we welcome everyone to a new exciting phase.
TELL ALL YOUR FRIENDS ABOUT   BAY AREA LATIN MUSIC"
Bay Area Hiking And Anything Fun,1,"This group is all about having a great time in the company of people with shared interests such as hiking, running, walking, bicycling, and a wide range of other activities and adventures we do together."
Walking in San Francisco for Health and History,1,"See legal disclaimer at bottom of text. EVERYONE MAY NOW JOIN THE GROUP EXCEPT THOSE FEW WHO WERE BANNED. Walking or hiking. Meet other local people who are interested in walking or hiking for fitness and learning about San Francisco's history, including its movie history. This walking group is unique. It is primarily a health group with a dash of history talk for flavor. It is for people in average physical shape who need restroom stops and not for athletes or people with serious medical conditions.
We keep our group together. We go on many different urban walks, in the best areas, that vary greatly in amounts of climbing and history facts. We walk at a leisurely pace and enjoy the scenery. Sometimes at a walk's end we have an optional dinner together at a fine restaurant, usually Indian, reasonably priced.
Our walks are usually 5 to 7 miles and might be called urban hiking. Our routes are well planned with good restroom stops properly spaced. We avoid stinky port-a-potties. Though we mainly walk in SF we also walk in Oakland, Piedmont, Sausalito, Berkeley & Alameda.
We always take roll and if more than 20 attendees we give all a name tag. Attendance is usually unlimited and has ranged from 1 to 112. Kids and cameras very welcome. Dogs and other pets are not welcome. Also, smoking is not allowed on the walks as this is a health group. Occasionally we visit science and nature places. 99 out of every 100 doctors say ""JOIN THIS GROUP!""
NEWS:  We have a walk scheduled for Saturday, March 17th. 
Our ""group photo"" was taken July 5th, 2015 at our walk ""The March to the Sea.""
Click on ""Photos"" near the top of the screen to see over 5,000 photos of our walks thanks to scores of our members. Click on ""Pages"" to see more on this group and there click links to a short ""History of San Francisco Made Simple,"" and also to the movies made on location in SF.
See how healthy your favorite SF restaurants are by clicking on the link below: 
 :8443/ords/eeopn... 
Here is a great web site about old movies filmed on location in SF: 
Some legal disclaimers: By joining us for any event you hereby RELEASE and DISCHARGE it's organizers, hosts and participants from any and all liability, claims, demands or causes of action that you now have, or may have in the future, for injuries, damages, death and/or economic loss of any kind or nature, arising in whole or in part out of the activities, advice or information contained herein. You further agree that if you or someone under your supervision uses the information on this website you assume all risks of injury, damage, and economic loss, without limitation, and release providers from all liability therefore. It is advisable to consult a doctor before you begin any strenuous physical activity. The organizer is not trained for emergency medical procedures and no doctors, nurses or ambulances are provided on the walks.   "
Oakland Pathways Volunteers,1,"We hope to fill Oakland's need to improve the city's many hidden pathways/stairways. At first we will remove the plant growth that is harming the pathways. Later we can do other things to improve them by such things as planting flowering plants. It is time to get local people together to improve Oakland.
We have already done 15 group weed cleanups which greatly improved 3 pathway/stairways in Oakland's Lakeshore Neighborhood plus one in the Upper Rockridge Neighborhood.
We did our first improvement to a pathway in Oakland on Sunday, May 20, 2012, and it was a success. 3 of our group showed up to work on our first pathway which was between Balfour & Calmar. Then a close neighbor we did not know saw us and joined us in removing the weeds. Our team of 4 did a great job as you may see in our photos. Since then some of our cleanups have had as many as 7 people.
This group is a spin off of my giant walking group ""Walking in San Francisco for Health and History."" Link below:
 "
Downtown/Midtown,1,"A variety of events for adult residents of (and anyone who just likes) downtown and midtown Sacramento. This is not a singles group. This is an adult activity group.  We have happy hours, geocaching, concerts in the park, bike rides, wine tasting and trips.  If there's something you're interested in doing or presenting, contact an organizer and we'll get it on the calendar for you.  This group is for you so let us know what you want.  We do NOT condone smoking or the use of automobiles! So don't even ask if you can smoke or where to park. Do your lungs and the environment a favor and ride your bike!"
San Francisco Knitters and Crocheters,1,"Meet, mingle and trade yarns with local knitters and crocheters! Come to a SF Knitters/Crocheters Meetup and have fun comparing patterns, sharing techniques and trading tips on stitches, sweaters and mittens. Beginners welcome!"
The Palo Alto Wine Group,1,"SIP, LEARN AND NETWORK  
Wine tasting get-to-gethers for Bay Area professionals who enjoy wine, socializing or just looking to network with other professionals. Meet and join others through tasting wine at our private wine tasting in a fun and relaxing atmosphere. Make friends, business contacts, meet other couples, singles and or acquaintances.
"
Poker Meetup Group,1,"Hi All, 
 
Here is my vision for the group: 
To have a central place for discussing the game, learning the game, and practicing the game. To be run by the members - any member who wants to be an assistant organizer will be granted! To be a fun place for all to play our favorite game. 
This was the original vision, We still honor that!!!
Poker Meetup Group, Welcome!! Meet local Poker faces to test your hand against us in a Texas Holdem low-stakes cash game. This group is for people who love to play the game of poker in a non-threatening atmosphere while meeting new people. All guests should respect the rules and procedures of the host and the other people the host designates as an authority for the game. If a guest does not wish to comply with a particular host, they should not attend those games. If a guest makes a host or any other players uncomfortable, they will be removed from the group. Must be 21 OR older to Join!"
"35ish-65ish Bay Area Hikers, Daytrippers and Playful People",1,"Coastal hikes, inland hikes, simpler walks in town, cultural and social events -- we've expanded beyond the scope of the group's original name."
East Bay Singles & Social group,1,"Meet other singles near you and get involved in a wide variety of events! Come to a Singles Meetup and connect, network, flirt and make new friends with fellow minglers for fun, friendship...and maybe more!
East Bay Single is huge fun, very casual, and is open to anybody. Our events are often discounted, if not free; and we're always looking for new ideas, so if have any suggestions, let us know.
The people in this group are really easy going and light-hearted. Join us and come along for the good times!
 Also check out: ! - Singles Events & Personals "
San Francisco Dance Enthusiasts,1,"Welcome!  This group is for dance enthusiasts of all types!  If you enjoy dancing in night clubs, attending dance classes, attending dance performances and socializing then please, join us!  Our focus will be mainly on San Francisco, but will include events throughout the bay area when possible."
The Sacramento Professionals Activity Group,1,"This group is dedicated to local Professionals (ages 21-50) in the Sacramento area that enjoy meeting new professional friends for movies, happy hour, dancing, cook-outs, dinner, camping, road trips and much more. Our group's primary focus is to get out, network, meet new friends, and enjoy the sights and sounds of Northern California. Sorry, activities are not open to children (under 18) or pets, unless specified otherwise in the write-up.
"
East Bay Fun,1,"  

Big Balloon Drop at Midnight
Champagne Toast
Two Free Drinks
Casino Gaming for 100's of dollars in prizes
Party Favors  Entertainment 
Huge Dance Floor
Live Band and a DJ
Bar Snacks  Free Parking  Sold out every year, so get tickets early. Visit PGuild.com to learn more!. 

  "
20/30-Something South Bay Meetup,1,"Young and new in town? Just want to shake up your social scene? This group is for anyone in their 20s/30s who wants to meet and make friends outside of the typical bar scene. Let's meet-up and take advantage of local music and cultural opportunities.
We often post ""notes"" on the calendar about things we think are cool but can't attend ourselves. If you see a ""note"" on the calendar, you want to attend, and think you can spearhead turning it into an event, please let us know. We'll give you all the information and backup you'll need!
(We are *not* a singles-only group!)"
San Jose Travel Group,1,"
Meet fellow travel enthusiasts near you! Join us and relive adventures, share photos from around the world and get travel tips and recommendations on Domestic and International destinations. .....or find a new travel buddy!
There is a wealth of knowledge and some wonderful stories among the members of this group. So let's tap into it. Some of us are seasoned travelers and some are novice. There is something for everyone.
We may schedule group outings, both locally and abroad, if there is interest.  Our focus is on consistant quality group meetings for the purpose of developing connections with fellow traveler enthusiasts for the mutual exchange of ideas/tips.
For each meeting we promote a topic to kick off discussion. So, please join the group and and be prepared for some stimulating conversation and socializing.
Solicitation of Members at Meet Ups, via the Message Boards or via this website by commercial organizations, non-commercial organizations, or by individuals is contrary to the spirit of the group and may result in expulsion from the group at the sole discretion of the Organizer.
Commercial and non-commercial Message Board solicitations will be deleted without notice. This is a place to share travel experiences, ttravel ideas ideas,  and to  have fun.
Happy traveling,
Tess"
I LOVE San Francisco!!!,1,"Enjoy the Bay Area! If you love this city and want to experience all the fun and history...enjoy this group! Meet some new friends, find a mate!"
Bay Area Classical Music Meetup,1,Members are encouraged to organize outings for fellow members. Let us know what you'd like to attend with a group and we'll set it in motion.
East Bay Book Club,1,"About the East Bay Book Club
The East Bay Book Club is a very dynamic group of individuals who share one thing in common: an enthusiasm for books. Each month, members read a particular book, chosen by the whole group or by the Organizer, and meet to share observations, insights, and personal thoughts about it. Meetings are devoted to various genres, both contemporary and classic.
The club's members represent a variety of backgrounds and literary tastes, bringing wonderful diversity to each book discussion. The East Bay Book Club thrives on both the celebration of literature and the comraderie of its readers. More importantly, the club values the ideas of its members, allowing everyone a chance to suggest books and other ideas for making this club a lively group to participate in.
Since its inception in June 2007, the East Bay Book Club has inspired new and ongoing interest in reading. The club reads everything from historical fiction and literary works to thrillers and nonfiction. Thanks to its members, the club continues to be an engaging book interest group, discussion forum, and social club all rolled into one. The mission of the East Bay Book Club is simple: provide an opportunity to explore the excitement of literature, one of humankind's oldest forms of leisure, and to meet like-minded people along the way.
Reading Schedule
All book discussion meetings for a single club year (September through June) are announced before the start of the year. Please refer to the complete list of current and upcoming meetups to know the books and dates for each meeting. You are encouraged to plan in advance your readings of books that interest you, instead of waiting for email announcements of each meeting.
Essential Links


 
"
San Jose Area Tennis Community Meetup Group,1,"San Jose Tennis Meetup players have a range of tennis skills, from beginner to advanced intermediate players. All levels are welcome, and everyone has a great time playing and meeting new people.
PLEASE NOTE YOU MUST BE 18 YEARS OR OLDER TO JOIN THIS GROUP !
YOU SHOULD BRING YOUR OWN RACQUETS AND BALLS.
WE PLAY ON PUBLIC COURTS SO THERE CAN BE A WAIT SOMETIMES ESPECIALLY SUMMERS.
Did you know San Jose Tennis Meetup is FREE. You can attend the regularly scheduled sessions at local courts for free. You can also post and schedule private matches among yourselves for free.
PLEASE NOTE NEW MEMBERS: It is YOUR JOB ! to introduce yourself to the host and/or other members. It would be wise to include a picture in your profile though not required. Ask the host of the location you are attending if you have any questions as conditions and preferences vary from location to location. If a host is not available at the location work it out amongst yourselves. 
We are also planning to develop tennis clinics to help the beginner and advanced player improve their tennis skills. Yes this will be free too ! Plans are also being reviewed to have a San Jose Tennis meetup summer tournament as well as competitions with other meetup tennis teams and clubs.
San Jose Tennis Meetup is also actively seeking sponsors to offer the best tennis deals to our membership.
Our new and 1st sponsor DHL Tennis has agreed to offer all our members the following:
As an ongoing special DHL Tennis is offering a FREE can of balls with any string job over $20. You must mention you are a San Jose Tennis Meetup member to qualify.
You can contact them at 408-600-6588 or dhltennis@gmail.com  So if you have thought about tennis come on out and give it a try. If you just moved to San Jose and you already play tennis come and join us for competitive and fun matches.
Feel free to review our group on Yelp: "
The San Francisco 80's Music Meetup Group,1,"Meet other Bay Area fans of 80's music!
From concerts and club nights to local bands and everything in-between, this is the place to keep up with all that's happening in San Francisco and the rest of the Bay Area.
Check our calendar- even if there's no official MeetUp event scheduled, you'll find plenty there related to 80s music, theme nights, and more. Feel free to post on the message boards to connect with others or simply sound off.
As always, please feel free to email me with suggestions as to what you'd like to see more of in this group- New Wave, Goth, tribute bands, hair metal, pop, rock, synthpop, you name it."
Onyx Community Connection,1,"Onyx Community Connection is a professionals group committed to amplifying black excellence. We organize various networking, business and community services events and programs. In addition, we publish a weekly curated newsletter of news, opportunities, and events.
Once you join, please check out our frequently asked questions page at "
Sacramento Area Golfers,1,"Welcome to the Sacramento Area Golfers (SAG). We are a group of intermediate to advanced golfers who enjoy participating in golfing events in and around the Sacramento area. We usually play 18 holes but on occasion will play a 9 hole course after work, or join group practice sessions to build on our golfing skills.  We try to follow USGA guidelines to the best of our abilities.  The bottom line is, we just want to golf, enjoy each other's company, and have fun!  Oh ...but we DO try to observe the basics of golfing etiquette.   
In order to play an 18 hole course with SAG, you should be able to consistently hit a minimum of 115 yards from the tee box, make each hole within twice the number of par strokes, and have an average score below 110.  If you're score is closer to 115-130 you will need to increase your skill level before playing 18 holes with SAG.   Please know the basic rules of golf and golf etiquette before you play with our group.   
Being focused on your ""Pace of Play"", playing ""Ready Golf"", and adhering to golf etiquette are very important concepts in our group. Less experienced golfers can play well with more experienced golfers when these rules are followed.  Please be aware of our RSVP cancellation policy:  any RSVP cancellation within 24 hours of an event, for any reason, is considered a ""No-Show"".  Members will be expected to pay SAG for their green fee for all cancellations within 24 hours.  Members are removed from SAG after three ""no-Shows"".   Please be sure you review our cancellation policy statement:   "
